Regionlevel,Entity,Code,Date,Total confirmed deaths (deaths),Total confirmed cases (cases)
,Afghanistan,AFG,25-Feb-20,,1
,Afghanistan,AFG,26-Feb-20,,1
,Afghanistan,AFG,27-Feb-20,,1
,Afghanistan,AFG,28-Feb-20,,1
,Afghanistan,AFG,29-Feb-20,,1
,Afghanistan,AFG,1-Mar-20,,1
,Afghanistan,AFG,2-Mar-20,,1
,Afghanistan,AFG,8-Mar-20,,4
,Afghanistan,AFG,11-Mar-20,,7
,Afghanistan,AFG,15-Mar-20,,10
,Afghanistan,AFG,16-Mar-20,,16
,Afghanistan,AFG,17-Mar-20,,21
,Afghanistan,AFG,18-Mar-20,,22
,Afghanistan,AFG,19-Mar-20,,22
,Afghanistan,AFG,20-Mar-20,,22
,Afghanistan,AFG,21-Mar-20,,24
,Afghanistan,AFG,22-Mar-20,,24
,Afghanistan,AFG,23-Mar-20,,34
,Afghanistan,AFG,24-Mar-20,1,40
,Afghanistan,AFG,25-Mar-20,1,42
,Afghanistan,AFG,26-Mar-20,1,75
,Afghanistan,AFG,27-Mar-20,1,75
,Afghanistan,AFG,28-Mar-20,2,91
,Afghanistan,AFG,29-Mar-20,3,106
,Afghanistan,AFG,30-Mar-20,4,114
,Afghanistan,AFG,31-Mar-20,4,141
,Afghanistan,AFG,1-Apr-20,4,166
,Afghanistan,AFG,2-Apr-20,4,192
,Afghanistan,AFG,3-Apr-20,4,235
,Afghanistan,AFG,4-Apr-20,4,235
,Afghanistan,AFG,5-Apr-20,5,270
,Afghanistan,AFG,6-Apr-20,7,299
,Afghanistan,AFG,7-Apr-20,7,337
,Afghanistan,AFG,8-Apr-20,11,367
,Afghanistan,AFG,9-Apr-20,14,423
,Afghanistan,AFG,10-Apr-20,15,484
,Afghanistan,AFG,11-Apr-20,15,521
,Afghanistan,AFG,12-Apr-20,18,555
,Afghanistan,AFG,13-Apr-20,18,607
,Afghanistan,AFG,14-Apr-20,21,665
,Afghanistan,AFG,15-Apr-20,23,714
,Afghanistan,AFG,16-Apr-20,25,784
,Afghanistan,AFG,17-Apr-20,29,794
,Afghanistan,AFG,18-Apr-20,30,845
,Afghanistan,AFG,19-Apr-20,30,908
,Afghanistan,AFG,20-Apr-20,33,996
,Afghanistan,AFG,21-Apr-20,35,1031
,Afghanistan,AFG,22-Apr-20,36,1092
,Afghanistan,AFG,23-Apr-20,40,1176
,Afghanistan,AFG,24-Apr-20,42,1281
,Afghanistan,AFG,25-Apr-20,43,1351
,Afghanistan,AFG,26-Apr-20,47,1463
,Afghanistan,AFG,27-Apr-20,57,1531
,Afghanistan,AFG,28-Apr-20,57,1703
,Afghanistan,AFG,29-Apr-20,60,1827
,Afghanistan,AFG,30-Apr-20,60,1949
excl,Africa,,15-Feb-20,,1
excl,Africa,,16-Feb-20,,1
excl,Africa,,17-Feb-20,,1
excl,Africa,,18-Feb-20,,1
excl,Africa,,19-Feb-20,,1
excl,Africa,,20-Feb-20,,1
excl,Africa,,21-Feb-20,,1
excl,Africa,,22-Feb-20,,1
excl,Africa,,23-Feb-20,,1
excl,Africa,,24-Feb-20,,1
excl,Africa,,25-Feb-20,,1
excl,Africa,,26-Feb-20,,2
excl,Africa,,27-Feb-20,,2
excl,Africa,,28-Feb-20,,3
excl,Africa,,29-Feb-20,,3
excl,Africa,,1-Mar-20,,5
excl,Africa,,2-Mar-20,,6
excl,Africa,,3-Mar-20,,9
excl,Africa,,4-Mar-20,,11
excl,Africa,,5-Mar-20,,20
excl,Africa,,6-Mar-20,,29
excl,Africa,,7-Mar-20,,43
excl,Africa,,8-Mar-20,,44
excl,Africa,,9-Mar-20,1,83
excl,Africa,,10-Mar-20,1,95
excl,Africa,,11-Mar-20,1,105
excl,Africa,,12-Mar-20,2,118
excl,Africa,,13-Mar-20,4,159
excl,Africa,,14-Mar-20,5,202
excl,Africa,,15-Mar-20,6,239
excl,Africa,,16-Mar-20,8,324
excl,Africa,,17-Mar-20,8,402
excl,Africa,,18-Mar-20,12,494
excl,Africa,,19-Mar-20,16,633
excl,Africa,,20-Mar-20,17,744
excl,Africa,,21-Mar-20,24,975
excl,Africa,,22-Mar-20,35,1176
excl,Africa,,23-Mar-20,44,1389
excl,Africa,,24-Mar-20,52,1738
excl,Africa,,25-Mar-20,64,2203
excl,Africa,,26-Mar-20,72,2690
excl,Africa,,27-Mar-20,84,3278
excl,Africa,,28-Mar-20,103,3804
excl,Africa,,29-Mar-20,124,4124
excl,Africa,,30-Mar-20,143,4629
excl,Africa,,31-Mar-20,166,5137
excl,Africa,,1-Apr-20,189,5626
excl,Africa,,2-Apr-20,224,6248
excl,Africa,,3-Apr-20,256,6883
excl,Africa,,4-Apr-20,305,7508
excl,Africa,,5-Apr-20,379,8440
excl,Africa,,6-Apr-20,434,9175
excl,Africa,,7-Apr-20,477,9802
excl,Africa,,8-Apr-20,522,10524
excl,Africa,,9-Apr-20,573,11446
excl,Africa,,10-Apr-20,630,12280
excl,Africa,,11-Apr-20,691,12952
excl,Africa,,12-Apr-20,743,13666
excl,Africa,,13-Apr-20,789,14522
excl,Africa,,14-Apr-20,835,15291
excl,Africa,,15-Apr-20,876,16281
excl,Africa,,16-Apr-20,911,17243
excl,Africa,,17-Apr-20,965,18329
excl,Africa,,18-Apr-20,1016,19897
excl,Africa,,19-Apr-20,1057,21057
excl,Africa,,20-Apr-20,1120,22303
excl,Africa,,21-Apr-20,1155,23267
excl,Africa,,22-Apr-20,1189,24617
excl,Africa,,23-Apr-20,1232,25686
excl,Africa,,24-Apr-20,1286,27221
excl,Africa,,25-Apr-20,1334,29075
excl,Africa,,26-Apr-20,1378,30316
excl,Africa,,27-Apr-20,1415,31748
excl,Africa,,28-Apr-20,1470,33164
excl,Africa,,29-Apr-20,1524,34934
excl,Africa,,30-Apr-20,1591,36743
,Albania,ALB,9-Mar-20,,2
,Albania,ALB,10-Mar-20,,6
,Albania,ALB,11-Mar-20,,10
,Albania,ALB,12-Mar-20,1,11
,Albania,ALB,13-Mar-20,1,23
,Albania,ALB,14-Mar-20,1,33
,Albania,ALB,15-Mar-20,1,38
,Albania,ALB,16-Mar-20,1,42
,Albania,ALB,17-Mar-20,1,51
,Albania,ALB,18-Mar-20,1,55
,Albania,ALB,19-Mar-20,2,59
,Albania,ALB,20-Mar-20,2,70
,Albania,ALB,21-Mar-20,2,70
,Albania,ALB,22-Mar-20,2,76
,Albania,ALB,23-Mar-20,2,89
,Albania,ALB,24-Mar-20,4,100
,Albania,ALB,25-Mar-20,5,123
,Albania,ALB,26-Mar-20,5,146
,Albania,ALB,27-Mar-20,6,174
,Albania,ALB,28-Mar-20,9,186
,Albania,ALB,29-Mar-20,10,197
,Albania,ALB,30-Mar-20,10,212
,Albania,ALB,31-Mar-20,12,223
,Albania,ALB,1-Apr-20,15,243
,Albania,ALB,2-Apr-20,15,259
,Albania,ALB,3-Apr-20,16,277
,Albania,ALB,4-Apr-20,17,304
,Albania,ALB,5-Apr-20,19,333
,Albania,ALB,6-Apr-20,21,361
,Albania,ALB,7-Apr-20,22,377
,Albania,ALB,8-Apr-20,22,383
,Albania,ALB,9-Apr-20,22,400
,Albania,ALB,10-Apr-20,23,409
,Albania,ALB,11-Apr-20,23,416
,Albania,ALB,12-Apr-20,23,433
,Albania,ALB,13-Apr-20,23,446
,Albania,ALB,14-Apr-20,23,467
,Albania,ALB,15-Apr-20,24,475
,Albania,ALB,16-Apr-20,25,494
,Albania,ALB,17-Apr-20,26,518
,Albania,ALB,18-Apr-20,26,539
,Albania,ALB,19-Apr-20,26,548
,Albania,ALB,20-Apr-20,26,562
,Albania,ALB,21-Apr-20,26,584
,Albania,ALB,22-Apr-20,26,609
,Albania,ALB,23-Apr-20,27,634
,Albania,ALB,24-Apr-20,27,663
,Albania,ALB,25-Apr-20,27,678
,Albania,ALB,26-Apr-20,27,712
,Albania,ALB,27-Apr-20,28,726
,Albania,ALB,28-Apr-20,28,736
,Albania,ALB,29-Apr-20,30,750
,Albania,ALB,30-Apr-20,31,766
,Algeria,DZA,26-Feb-20,,1
,Algeria,DZA,27-Feb-20,,1
,Algeria,DZA,28-Feb-20,,1
,Algeria,DZA,29-Feb-20,,1
,Algeria,DZA,1-Mar-20,,3
,Algeria,DZA,2-Mar-20,,3
,Algeria,DZA,4-Mar-20,,5
,Algeria,DZA,5-Mar-20,,12
,Algeria,DZA,6-Mar-20,,17
,Algeria,DZA,9-Mar-20,,20
,Algeria,DZA,12-Mar-20,,20
,Algeria,DZA,13-Mar-20,1,25
,Algeria,DZA,14-Mar-20,2,26
,Algeria,DZA,15-Mar-20,2,37
,Algeria,DZA,16-Mar-20,4,48
,Algeria,DZA,17-Mar-20,4,58
,Algeria,DZA,18-Mar-20,5,60
,Algeria,DZA,19-Mar-20,6,72
,Algeria,DZA,20-Mar-20,7,90
,Algeria,DZA,21-Mar-20,10,102
,Algeria,DZA,22-Mar-20,15,139
,Algeria,DZA,23-Mar-20,17,201
,Algeria,DZA,24-Mar-20,17,230
,Algeria,DZA,25-Mar-20,19,264
,Algeria,DZA,26-Mar-20,21,302
,Algeria,DZA,27-Mar-20,25,367
,Algeria,DZA,28-Mar-20,26,409
,Algeria,DZA,29-Mar-20,29,454
,Algeria,DZA,30-Mar-20,31,511
,Algeria,DZA,31-Mar-20,35,584
,Algeria,DZA,1-Apr-20,44,716
,Algeria,DZA,2-Apr-20,58,847
,Algeria,DZA,3-Apr-20,63,986
,Algeria,DZA,4-Apr-20,105,1171
,Algeria,DZA,5-Apr-20,130,1251
,Algeria,DZA,6-Apr-20,152,1320
,Algeria,DZA,7-Apr-20,173,1423
,Algeria,DZA,8-Apr-20,193,1468
,Algeria,DZA,9-Apr-20,205,1572
,Algeria,DZA,10-Apr-20,235,1666
,Algeria,DZA,11-Apr-20,256,1761
,Algeria,DZA,12-Apr-20,275,1825
,Algeria,DZA,13-Apr-20,293,1914
,Algeria,DZA,14-Apr-20,313,1983
,Algeria,DZA,15-Apr-20,325,2070
,Algeria,DZA,16-Apr-20,336,2160
,Algeria,DZA,17-Apr-20,348,2268
,Algeria,DZA,18-Apr-20,364,2418
,Algeria,DZA,19-Apr-20,367,2535
,Algeria,DZA,20-Apr-20,375,2629
,Algeria,DZA,21-Apr-20,384,2718
,Algeria,DZA,22-Apr-20,392,2811
,Algeria,DZA,23-Apr-20,402,2910
,Algeria,DZA,24-Apr-20,407,3007
,Algeria,DZA,25-Apr-20,415,3127
,Algeria,DZA,26-Apr-20,419,3256
,Algeria,DZA,27-Apr-20,425,3382
,Algeria,DZA,28-Apr-20,432,3517
,Algeria,DZA,29-Apr-20,437,3649
,Algeria,DZA,30-Apr-20,444,3848
,Andorra,AND,3-Mar-20,,1
,Andorra,AND,14-Mar-20,,2
,Andorra,AND,16-Mar-20,,5
,Andorra,AND,17-Mar-20,,14
,Andorra,AND,18-Mar-20,,14
,Andorra,AND,19-Mar-20,,53
,Andorra,AND,20-Mar-20,,75
,Andorra,AND,21-Mar-20,,75
,Andorra,AND,22-Mar-20,,88
,Andorra,AND,23-Mar-20,,113
,Andorra,AND,24-Mar-20,,133
,Andorra,AND,25-Mar-20,,164
,Andorra,AND,26-Mar-20,,188
,Andorra,AND,27-Mar-20,3,224
,Andorra,AND,28-Mar-20,3,267
,Andorra,AND,29-Mar-20,4,308
,Andorra,AND,30-Mar-20,6,334
,Andorra,AND,31-Mar-20,8,370
,Andorra,AND,1-Apr-20,12,376
,Andorra,AND,2-Apr-20,14,390
,Andorra,AND,3-Apr-20,15,428
,Andorra,AND,4-Apr-20,16,439
,Andorra,AND,5-Apr-20,17,466
,Andorra,AND,6-Apr-20,18,501
,Andorra,AND,7-Apr-20,21,526
,Andorra,AND,8-Apr-20,22,545
,Andorra,AND,9-Apr-20,23,564
,Andorra,AND,10-Apr-20,25,583
,Andorra,AND,11-Apr-20,26,601
,Andorra,AND,12-Apr-20,28,622
,Andorra,AND,13-Apr-20,29,638
,Andorra,AND,14-Apr-20,29,646
,Andorra,AND,15-Apr-20,31,659
,Andorra,AND,16-Apr-20,33,673
,Andorra,AND,17-Apr-20,33,682
,Andorra,AND,18-Apr-20,35,696
,Andorra,AND,19-Apr-20,35,704
,Andorra,AND,20-Apr-20,36,713
,Andorra,AND,21-Apr-20,36,717
,Andorra,AND,22-Apr-20,37,717
,Andorra,AND,23-Apr-20,37,723
,Andorra,AND,24-Apr-20,37,724
,Andorra,AND,25-Apr-20,40,731
,Andorra,AND,26-Apr-20,40,733
,Andorra,AND,27-Apr-20,40,740
,Andorra,AND,28-Apr-20,40,743
,Andorra,AND,29-Apr-20,41,748
,Andorra,AND,30-Apr-20,42,753
,Angola,AGO,22-Mar-20,,2
,Angola,AGO,23-Mar-20,,2
,Angola,AGO,24-Mar-20,,2
,Angola,AGO,25-Mar-20,,2
,Angola,AGO,26-Mar-20,,2
,Angola,AGO,27-Mar-20,,3
,Angola,AGO,28-Mar-20,,4
,Angola,AGO,29-Mar-20,,4
,Angola,AGO,30-Mar-20,2,7
,Angola,AGO,31-Mar-20,2,7
,Angola,AGO,1-Apr-20,2,7
,Angola,AGO,2-Apr-20,2,8
,Angola,AGO,3-Apr-20,2,8
,Angola,AGO,4-Apr-20,2,8
,Angola,AGO,5-Apr-20,2,10
,Angola,AGO,6-Apr-20,2,14
,Angola,AGO,7-Apr-20,2,16
,Angola,AGO,8-Apr-20,2,17
,Angola,AGO,9-Apr-20,2,19
,Angola,AGO,10-Apr-20,2,19
,Angola,AGO,11-Apr-20,2,19
,Angola,AGO,12-Apr-20,2,19
,Angola,AGO,13-Apr-20,2,19
,Angola,AGO,14-Apr-20,2,19
,Angola,AGO,15-Apr-20,2,19
,Angola,AGO,16-Apr-20,2,19
,Angola,AGO,17-Apr-20,2,19
,Angola,AGO,18-Apr-20,2,19
,Angola,AGO,19-Apr-20,2,24
,Angola,AGO,20-Apr-20,2,24
,Angola,AGO,21-Apr-20,2,24
,Angola,AGO,22-Apr-20,2,24
,Angola,AGO,23-Apr-20,2,24
,Angola,AGO,24-Apr-20,2,25
