,direct_fixed,division_fixed,eff_year,award_id,total_funding
1,Directorate For Engineering,directorate for engineering,1967,28,7313587
2,Directorate For Engineering,directorate for engineering,1968,25,4877885
3,Directorate For Engineering,directorate for engineering,1969,261,39627477
4,Directorate For Engineering,directorate for engineering,1970,21,2999556
5,Directorate For Engineering,directorate for engineering,1971,75,60276041
6,Directorate For Engineering,directorate for engineering,1972,136,45523325
7,Directorate For Engineering,directorate for engineering,1973,149,64549256
8,Directorate For Engineering,directorate for engineering,1974,146,35190201
9,Directorate For Engineering,directorate for engineering,1975,185,30365167
10,Directorate For Engineering,directorate for engineering,1976,114,13231470
11,Directorate For Engineering,directorate for engineering,1977,112,23920838
12,Directorate For Engineering,directorate for engineering,1978,28,700586
13,Directorate For Engineering,directorate for engineering,1979,13,336880
14,Directorate For Engineering,directorate for engineering,1980,3,2178380
15,Directorate For Engineering,directorate for engineering,1981,2,98430
16,Directorate For Engineering,directorate for engineering,1982,6,1191396
17,Directorate For Engineering,directorate for engineering,1983,4,283970
18,Directorate For Engineering,directorate for engineering,1984,4,215008
19,Directorate For Engineering,directorate for engineering,1985,4,557085
20,Directorate For Engineering,directorate for engineering,1986,18,1877326
21,Directorate For Engineering,directorate for engineering,1987,15,1316859
22,Directorate For Engineering,directorate for engineering,1988,13,1749085
23,Directorate For Engineering,directorate for engineering,1989,3,322192
24,Directorate For Engineering,directorate for engineering,1990,5,305591
25,Directorate For Engineering,directorate for engineering,1991,1,1173021
26,Directorate For Engineering,directorate for engineering,1992,3,20700234
27,Directorate For Engineering,directorate for engineering,1995,1,176320
28,Directorate For Engineering,directorate for engineering,1996,1,176320
29,Directorate For Engineering,directorate for engineering,1998,1,176240
30,Directorate For Engineering,directorate for engineering,2000,1,320000
32,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1971,5,1265900
33,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1972,42,21492921
34,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1973,76,10378786
35,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1974,169,21875781
36,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1975,296,25636805
37,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1976,351,38716734
38,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1977,419,37949113
39,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1978,394,42604375
40,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1979,452,46095951
41,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1980,381,41446467
42,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1981,279,31994313
43,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1982,363,41132692
44,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1983,358,37816544
45,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1984,450,47008608
46,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1985,422,48331448
47,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1986,332,39716307
48,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1987,419,49080211
49,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1988,372,39855521
50,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1989,381,51131437
51,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1990,394,51840838
52,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1991,374,51730423
53,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1992,400,68679316
54,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1993,338,51708010
55,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1994,417,66387995
56,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1995,368,62072066
57,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1996,329,61612072
58,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1997,437,74860585
59,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1998,414,76615728
60,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",1999,370,72340805
61,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2000,450,97457562
62,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2001,406,114696937
63,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2002,412,139578990
64,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2003,430,119894426
65,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2004,414,116068195
66,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2005,375,109638997
67,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2006,444,109821473
68,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2007,483,126824367
69,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2008,555,132710162
70,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2009,739,205283919
71,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2010,606,211467438
72,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2011,616,161014557
73,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2012,661,184455238
74,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2013,646,172350259
75,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2014,652,177968149
76,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2015,656,196096414
77,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2016,636,180922448
78,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2017,658,195027012
79,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2018,658,193554159
80,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2019,556,167015019
81,Directorate For Engineering,"division of chemical, bioengineering, environmental, and transport systems",2020,21,6317280
83,Directorate For Engineering,"division of civil, mechanical, and manufacturing innovation",1971,1,888300
84,Directorate For Engineering,"division of civil, mechanical, and manufacturing innovation",1972,12,9001700
85,Directorate For Engineering,"division of civil, mechanical, and manufacturing innovation",1973,31,6575872
86,Directorate For Engineering,"division of civil, mechanical, and manufacturing innovation",1974,43,13221371
87,Directorate For Engineering,"division of civil, mechanical, and manufacturing innovation",1975,83,16211893
88,Directorate For Engineering,"division of civil, mechanical, and manufacturing innovation",1976,104,16552672
89,Directorate For Engineering,"division of civil, mechanical, and manufacturing innovation",1977,112,19024110
