id,direct_fixed,eff_year,award_id,total_funding
"('Directorate For Engineering', 1967)",Directorate For Engineering,1967,28,7313587
"('Directorate For Engineering', 1968)",Directorate For Engineering,1968,25,4877885
"('Directorate For Engineering', 1969)",Directorate For Engineering,1969,261,39627477
"('Directorate For Engineering', 1970)",Directorate For Engineering,1970,23,3152656
"('Directorate For Engineering', 1971)",Directorate For Engineering,1971,88,62904641
"('Directorate For Engineering', 1972)",Directorate For Engineering,1972,200,76686546
"('Directorate For Engineering', 1973)",Directorate For Engineering,1973,292,84810974
"('Directorate For Engineering', 1974)",Directorate For Engineering,1974,433,76784104
"('Directorate For Engineering', 1975)",Directorate For Engineering,1975,702,81201414
"('Directorate For Engineering', 1976)",Directorate For Engineering,1976,791,83218269
"('Directorate For Engineering', 1977)",Directorate For Engineering,1977,873,93229160
"('Directorate For Engineering', 1978)",Directorate For Engineering,1978,727,74574821
"('Directorate For Engineering', 1979)",Directorate For Engineering,1979,968,99438732
"('Directorate For Engineering', 1980)",Directorate For Engineering,1980,1057,111467473
"('Directorate For Engineering', 1981)",Directorate For Engineering,1981,845,92731094
"('Directorate For Engineering', 1982)",Directorate For Engineering,1982,971,123853988
"('Directorate For Engineering', 1983)",Directorate For Engineering,1983,997,105754363
"('Directorate For Engineering', 1984)",Directorate For Engineering,1984,1160,129777230
"('Directorate For Engineering', 1985)",Directorate For Engineering,1985,1296,180025654
"('Directorate For Engineering', 1986)",Directorate For Engineering,1986,1146,191384302
"('Directorate For Engineering', 1987)",Directorate For Engineering,1987,1457,233220829
"('Directorate For Engineering', 1988)",Directorate For Engineering,1988,1383,336745956
"('Directorate For Engineering', 1989)",Directorate For Engineering,1989,1308,255271762
"('Directorate For Engineering', 1990)",Directorate For Engineering,1990,1441,290276488
"('Directorate For Engineering', 1991)",Directorate For Engineering,1991,1540,234526804
"('Directorate For Engineering', 1992)",Directorate For Engineering,1992,1537,293163122
"('Directorate For Engineering', 1993)",Directorate For Engineering,1993,1392,204554313
"('Directorate For Engineering', 1994)",Directorate For Engineering,1994,1699,427226181
"('Directorate For Engineering', 1995)",Directorate For Engineering,1995,1484,252163114
"('Directorate For Engineering', 1996)",Directorate For Engineering,1996,1429,387368251
"('Directorate For Engineering', 1997)",Directorate For Engineering,1997,1650,394991776
"('Directorate For Engineering', 1998)",Directorate For Engineering,1998,1486,456634547
"('Directorate For Engineering', 1999)",Directorate For Engineering,1999,1505,357939984
"('Directorate For Engineering', 2000)",Directorate For Engineering,2000,1644,464512278
"('Directorate For Engineering', 2001)",Directorate For Engineering,2001,1543,502149883
"('Directorate For Engineering', 2002)",Directorate For Engineering,2002,1762,492386129
"('Directorate For Engineering', 2003)",Directorate For Engineering,2003,2120,674570491
"('Directorate For Engineering', 2004)",Directorate For Engineering,2004,1736,776772129
"('Directorate For Engineering', 2005)",Directorate For Engineering,2005,1552,431041579
"('Directorate For Engineering', 2006)",Directorate For Engineering,2006,1800,680147556
"('Directorate For Engineering', 2007)",Directorate For Engineering,2007,2024,545198304
"('Directorate For Engineering', 2008)",Directorate For Engineering,2008,2028,754422330
"('Directorate For Engineering', 2009)",Directorate For Engineering,2009,2691,931448157
"('Directorate For Engineering', 2010)",Directorate For Engineering,2010,2511,808861458
"('Directorate For Engineering', 2011)",Directorate For Engineering,2011,2207,819318352
"('Directorate For Engineering', 2012)",Directorate For Engineering,2012,2296,800894358
"('Directorate For Engineering', 2013)",Directorate For Engineering,2013,2406,692765358
"('Directorate For Engineering', 2014)",Directorate For Engineering,2014,2446,749117867
"('Directorate For Engineering', 2015)",Directorate For Engineering,2015,2583,946647714
"('Directorate For Engineering', 2016)",Directorate For Engineering,2016,2769,952366736
"('Directorate For Engineering', 2017)",Directorate For Engineering,2017,2404,869827940
"('Directorate For Engineering', 2018)",Directorate For Engineering,2018,2585,837364158
"('Directorate For Engineering', 2019)",Directorate For Engineering,2019,2291,701855233
"('Directorate For Geosciences', 1963)",Directorate For Geosciences,1963,1,2305250
"('Directorate For Geosciences', 1964)",Directorate For Geosciences,1964,3,91500
"('Directorate For Geosciences', 1965)",Directorate For Geosciences,1965,3,64700
"('Directorate For Geosciences', 1966)",Directorate For Geosciences,1966,1,42000
"('Directorate For Geosciences', 1967)",Directorate For Geosciences,1967,6,223777143
"('Directorate For Geosciences', 1968)",Directorate For Geosciences,1968,5,966830
"('Directorate For Geosciences', 1969)",Directorate For Geosciences,1969,10,721020
"('Directorate For Geosciences', 1970)",Directorate For Geosciences,1970,36,14684145
"('Directorate For Geosciences', 1971)",Directorate For Geosciences,1971,100,97513036
"('Directorate For Geosciences', 1972)",Directorate For Geosciences,1972,190,81858174
"('Directorate For Geosciences', 1973)",Directorate For Geosciences,1973,216,43699287
"('Directorate For Geosciences', 1974)",Directorate For Geosciences,1974,449,87047856
"('Directorate For Geosciences', 1975)",Directorate For Geosciences,1975,624,87057866
"('Directorate For Geosciences', 1976)",Directorate For Geosciences,1976,802,1120185415
"('Directorate For Geosciences', 1977)",Directorate For Geosciences,1977,938,287134297
"('Directorate For Geosciences', 1978)",Directorate For Geosciences,1978,1102,239100958
"('Directorate For Geosciences', 1979)",Directorate For Geosciences,1979,909,350287745
"('Directorate For Geosciences', 1980)",Directorate For Geosciences,1980,924,139727597
"('Directorate For Geosciences', 1981)",Directorate For Geosciences,1981,959,220912929
"('Directorate For Geosciences', 1982)",Directorate For Geosciences,1982,951,406792866
"('Directorate For Geosciences', 1983)",Directorate For Geosciences,1983,975,155306388
"('Directorate For Geosciences', 1984)",Directorate For Geosciences,1984,1151,659291153
"('Directorate For Geosciences', 1985)",Directorate For Geosciences,1985,1116,225220737
"('Directorate For Geosciences', 1986)",Directorate For Geosciences,1986,976,156197696
"('Directorate For Geosciences', 1987)",Directorate For Geosciences,1987,1162,736393240
"('Directorate For Geosciences', 1988)",Directorate For Geosciences,1988,1075,189422065
"('Directorate For Geosciences', 1989)",Directorate For Geosciences,1989,1077,1084625427
"('Directorate For Geosciences', 1990)",Directorate For Geosciences,1990,1301,327786273
"('Directorate For Geosciences', 1991)",Directorate For Geosciences,1991,1555,490476589
"('Directorate For Geosciences', 1992)",Directorate For Geosciences,1992,1455,268413098
"('Directorate For Geosciences', 1993)",Directorate For Geosciences,1993,1363,868422262
"('Directorate For Geosciences', 1994)",Directorate For Geosciences,1994,1505,522293317
"('Directorate For Geosciences', 1995)",Directorate For Geosciences,1995,1294,264103304
"('Directorate For Geosciences', 1996)",Directorate For Geosciences,1996,1474,412922980
"('Directorate For Geosciences', 1997)",Directorate For Geosciences,1997,1624,1281584019
"('Directorate For Geosciences', 1998)",Directorate For Geosciences,1998,1469,805458511
