,division_fixed,eff_year,award_id,total_funding
0,acf,1973,2,254800
1,acf,1974,6,767400
2,arctic sciences division,2013,2,35261
3,arctic sciences division,2014,1,37863
4,budget division,1988,1,49819
5,budget division,2019,1,7000
6,direct for education and human resources,1982,2,52800
7,direct for education and human resources,1985,1,4000
8,direct for education and human resources,1986,4,1796159
9,directorate for biological sciences,1900,1,683
10,directorate for biological sciences,1962,1,0
11,directorate for biological sciences,1963,1,15000
12,directorate for biological sciences,1965,1,144000
13,directorate for biological sciences,1966,1,37150
14,directorate for biological sciences,1967,2,8000
15,directorate for biological sciences,1968,3,74000
16,directorate for biological sciences,1969,8,247300
17,directorate for biological sciences,1970,3,134600
18,directorate for biological sciences,1971,14,323550
19,directorate for biological sciences,1972,7,70550
20,directorate for biological sciences,1973,2,82400
21,directorate for biological sciences,1974,2,17500
22,directorate for biological sciences,1975,2,11210
23,directorate for biological sciences,1976,20,29488
24,directorate for biological sciences,1977,32,82837
25,directorate for biological sciences,1980,1,148600
26,directorate for biological sciences,1982,1,18200
27,directorate for biological sciences,1983,1,30500
28,directorate for biological sciences,1984,7,1013666
29,directorate for biological sciences,1986,1,0
30,directorate for biological sciences,1987,172,28099796
31,directorate for biological sciences,1988,43,2069830
32,directorate for biological sciences,1989,2,265070
33,directorate for biological sciences,1990,4,186250
34,directorate for biological sciences,1991,37,2758163
35,directorate for biological sciences,1992,20,883030
36,directorate for biological sciences,1997,1,99123
37,directorate for biological sciences,1999,1,3327
38,directorate for biological sciences,2005,2,73000
39,directorate for biological sciences,2008,1,12000
40,directorate for biological sciences,2012,1,455210
41,directorate for biological sciences,2017,1,14000
42,directorate for computer and information science and engineering,1900,1,22742
43,directorate for computer and information science and engineering,1968,3,148350
44,directorate for computer and information science and engineering,1969,4,202206
45,directorate for computer and information science and engineering,1970,6,186900
46,directorate for computer and information science and engineering,1971,2,131750
47,directorate for computer and information science and engineering,1972,3,349900
48,directorate for computer and information science and engineering,1973,19,2146925
49,directorate for computer and information science and engineering,1974,13,929275
50,directorate for computer and information science and engineering,1975,18,954588
51,directorate for computer and information science and engineering,1976,31,2214767
52,directorate for computer and information science and engineering,1977,65,3911891
53,directorate for computer and information science and engineering,1978,116,12349006
54,directorate for computer and information science and engineering,1979,84,5250310
55,directorate for computer and information science and engineering,1980,96,7923740
56,directorate for computer and information science and engineering,1981,13,7501463
57,directorate for computer and information science and engineering,1988,1,48260
58,directorate for computer and information science and engineering,1994,1,50000
59,directorate for computer and information science and engineering,1999,1,206635
60,directorate for computer and information science and engineering,2001,1,97067
61,directorate for education and human resources,1982,25,916769
62,directorate for education and human resources,1985,1,25350
63,directorate for education and human resources,1986,6,1261032
64,directorate for education and human resources,1987,5,1661014
65,directorate for education and human resources,1989,1,16700
66,directorate for education and human resources,1991,2,143000
67,directorate for education and human resources,2011,1,7000
68,directorate for engineering,1900,17,9593
69,directorate for engineering,1967,28,7313587
70,directorate for engineering,1968,25,4877885
71,directorate for engineering,1969,261,39627477
72,directorate for engineering,1970,21,2999556
73,directorate for engineering,1971,75,60276041
74,directorate for engineering,1972,136,45523325
75,directorate for engineering,1973,149,64549256
76,directorate for engineering,1974,146,35190201
77,directorate for engineering,1975,185,30365167
78,directorate for engineering,1976,114,13231470
79,directorate for engineering,1977,112,23920838
80,directorate for engineering,1978,28,700586
81,directorate for engineering,1979,13,336880
82,directorate for engineering,1980,3,2178380
83,directorate for engineering,1981,2,98430
84,directorate for engineering,1982,6,1191396
85,directorate for engineering,1983,4,283970
86,directorate for engineering,1984,4,215008
87,directorate for engineering,1985,4,557085
88,directorate for engineering,1986,18,1877326
89,directorate for engineering,1987,15,1316859
90,directorate for engineering,1988,13,1749085
91,directorate for engineering,1989,3,322192
92,directorate for engineering,1990,5,305591
93,directorate for engineering,1991,1,1173021
94,directorate for engineering,1992,3,20700234
95,directorate for engineering,1995,1,176320
96,directorate for engineering,1996,1,176320
97,directorate for engineering,1998,1,176240
98,directorate for engineering,2000,1,320000
99,directorate for geosciences,1975,3,385000
100,directorate for geosciences,1978,8,8944
101,directorate for geosciences,1979,13,35568
102,directorate for geosciences,1990,1,50000
103,directorate for geosciences,1991,1,35000
104,directorate for geosciences,1995,10,4411598
105,directorate for geosciences,1997,3,2357550
106,directorate for geosciences,1998,11,6133993
107,directorate for geosciences,1999,1,3493062
108,directorate for geosciences,2000,4,2144204
109,directorate for geosciences,2001,26,12789542
110,directorate for geosciences,2002,46,29502840
111,directorate for geosciences,2003,46,14557390
112,directorate for geosciences,2004,19,10387168
113,directorate for geosciences,2005,50,24134491
114,directorate for geosciences,2006,44,28008154
115,directorate for geosciences,2007,40,16801014
116,directorate for geosciences,2008,40,13722591
117,directorate for geosciences,2009,58,26999919
118,directorate for geosciences,2010,65,17685172
119,directorate for geosciences,2011,36,13341779
120,directorate for geosciences,2012,44,27864788
121,directorate for geosciences,2014,3,3411742
122,directorate for mathematical and physical sciences,1971,1,173944
123,directorate for mathematical and physical sciences,1973,1,2000
124,directorate for mathematical and physical sciences,1977,1,24535
125,directorate for mathematical and physical sciences,1984,3,222821
126,directorate for mathematical and physical sciences,1986,1,329832
127,directorate for mathematical and physical sciences,1987,2,98300
128,directorate for mathematical and physical sciences,1988,2,284000
129,directorate for mathematical and physical sciences,1990,1,375000
130,directorate for mathematical and physical sciences,1991,2,159121
131,directorate for mathematical and physical sciences,1993,1,42679
132,directorate for mathematical and physical sciences,1995,2,113178
133,directorate for mathematical and physical sciences,1996,1,2000000
134,directorate for mathematical and physical sciences,1998,6,557490
135,directorate for mathematical and physical sciences,1999,2,252535
136,directorate for mathematical and physical sciences,2001,1,82302
137,directorate for mathematical and physical sciences,2002,2,1422289
138,directorate for mathematical and physical sciences,2003,12,6024810
139,directorate for mathematical and physical sciences,2004,8,29184954
140,directorate for mathematical and physical sciences,2005,8,4878764
141,directorate for mathematical and physical sciences,2006,5,16815329
142,directorate for mathematical and physical sciences,2007,23,8797316
143,directorate for mathematical and physical sciences,2008,31,13600821
144,directorate for mathematical and physical sciences,2009,34,9187535
145,directorate for mathematical and physical sciences,2010,11,3538465
146,"directorate for social, behavioral and economic sciences",1992,1,1363436
147,"directorate for social, behavioral and economic sciences",2003,3,618972
148,"directorate for social, behavioral and economic sciences",2004,1,20769437
149,"directorate for social, behavioral and economic sciences",2005,2,380703
150,"directorate for social, behavioral and economic sciences",2006,1,15938236
151,"directorate for social, behavioral and economic sciences",2007,7,3063775
152,"directorate for social, behavioral and economic sciences",2008,18,4988262
153,"directorate for social, behavioral and economic sciences",2009,7,798743
154,"directorate for social, behavioral and economic sciences",2010,8,2509918
155,division of acquisition and cooperative support,2002,1,2000
156,division of acquisition and cooperative support,2003,1,0
157,division of acquisition and cooperative support,2005,1,166466
158,division of acquisition and cooperative support,2006,2,738498
159,division of acquisition and cooperative support,2008,2,107581
160,division of acquisition and cooperative support,2009,3,111253
161,division of acquisition and cooperative support,2010,6,1931438
162,division of acquisition and cooperative support,2011,1,269919
163,division of acquisition and cooperative support,2014,1,1617842
164,division of acquisition and cooperative support,2016,1,10000
165,division of administrative services,1994,1,871165
166,division of administrative services,1998,1,171998
167,division of administrative services,1999,1,678446
168,division of administrative services,2000,1,911416
169,division of administrative services,2002,1,0
170,division of administrative services,2003,2,1167407
171,division of administrative services,2006,1,661859
172,division of administrative services,2010,1,92568
173,division of administrative services,2014,1,24031
174,division of administrative services,2017,2,395000
175,division of administrative services,2018,6,36558630
176,division of administrative services,2019,3,287610
177,division of astronomical sciences,1900,2,295850
178,division of astronomical sciences,1963,2,412300
179,division of astronomical sciences,1967,3,22216612
180,division of astronomical sciences,1968,2,81099393
181,division of astronomical sciences,1969,5,48220120
182,division of astronomical sciences,1970,17,2133850
183,division of astronomical sciences,1971,18,3516836
184,division of astronomical sciences,1972,18,73618047
185,division of astronomical sciences,1973,27,3200482
186,division of astronomical sciences,1974,55,136992832
187,division of astronomical sciences,1975,87,12370777
188,division of astronomical sciences,1976,115,9160866
189,division of astronomical sciences,1977,156,17700758
190,division of astronomical sciences,1978,144,85218707
191,division of astronomical sciences,1979,150,122448953
192,division of astronomical sciences,1980,141,20394945
193,division of astronomical sciences,1981,113,53177966
194,division of astronomical sciences,1982,127,26609750
195,division of astronomical sciences,1983,156,33979306
196,division of astronomical sciences,1984,152,293381799
197,division of astronomical sciences,1985,148,28828976
198,division of astronomical sciences,1986,119,58612211
199,division of astronomical sciences,1987,125,21294257
200,division of astronomical sciences,1988,130,30656507
201,division of astronomical sciences,1989,148,563135923
202,division of astronomical sciences,1990,137,32461104
203,division of astronomical sciences,1991,156,143641101
204,division of astronomical sciences,1992,141,53818662
205,division of astronomical sciences,1993,127,43107088
206,division of astronomical sciences,1994,165,564847211
207,division of astronomical sciences,1995,112,30726306
208,division of astronomical sciences,1996,116,41021348
209,division of astronomical sciences,1997,157,235231652
210,division of astronomical sciences,1998,140,38242237
211,division of astronomical sciences,1999,141,74880008
212,division of astronomical sciences,2000,132,54699052
213,division of astronomical sciences,2001,129,954628314
214,division of astronomical sciences,2002,141,42722688
215,division of astronomical sciences,2003,134,45660481
216,division of astronomical sciences,2004,147,47566753
217,division of astronomical sciences,2005,144,107827313
218,division of astronomical sciences,2006,147,57790251
219,division of astronomical sciences,2007,165,110801065
220,division of astronomical sciences,2008,196,83810844
221,division of astronomical sciences,2009,313,935520802
222,division of astronomical sciences,2010,132,292596571
223,division of astronomical sciences,2011,71,107091789
224,division of astronomical sciences,2012,61,26150801
225,division of astronomical sciences,2013,68,27996051
226,division of astronomical sciences,2014,99,438402049
227,division of astronomical sciences,2015,112,237872370
228,division of astronomical sciences,2016,236,382816093
229,division of astronomical sciences,2017,190,173260921
230,division of astronomical sciences,2018,213,155472856
231,division of astronomical sciences,2019,215,93405807
232,division of atmospheric and geospace sciences,1900,9,1001845
233,division of atmospheric and geospace sciences,1963,1,2305250
234,division of atmospheric and geospace sciences,1967,2,220894093
235,division of atmospheric and geospace sciences,1969,4,120700
236,division of atmospheric and geospace sciences,1970,10,1573400
237,division of atmospheric and geospace sciences,1971,20,59019951
238,division of atmospheric and geospace sciences,1972,45,8714522
239,division of atmospheric and geospace sciences,1973,52,7412790
240,division of atmospheric and geospace sciences,1974,104,12170789
241,division of atmospheric and geospace sciences,1975,183,22666150
242,division of atmospheric and geospace sciences,1976,184,59244341
243,division of atmospheric and geospace sciences,1977,254,214645245
244,division of atmospheric and geospace sciences,1978,277,39544886
245,division of atmospheric and geospace sciences,1979,220,28485773
246,division of atmospheric and geospace sciences,1980,256,43235348
247,division of atmospheric and geospace sciences,1981,236,44689294
248,division of atmospheric and geospace sciences,1982,230,317777037
249,division of atmospheric and geospace sciences,1983,253,44236055
250,division of atmospheric and geospace sciences,1984,294,57733218
251,division of atmospheric and geospace sciences,1985,264,55212535
