id,context_term,occurences,ngram,target_term,region,year,target_total_occurences,pct_together,targ_reg_year_rank
kwic_01,political,61,1,pledgeors,US_Canada,2016,396,0.154040404,2
kwic_02,presidential,61,1,pledgeors,US_Canada,2016,396,0.154040404,2
kwic_03,voters,57,1,pledgeors,US_Canada,2016,396,0.143939394,3
kwic_04,national,48,1,pledgeors,US_Canada,2016,396,0.121212121,4
kwic_05,policy,47,1,pledgeors,US_Canada,2016,396,0.118686869,5
kwic_06,rights,46,1,pledgeors,US_Canada,2016,396,0.116161616,6
kwic_07,voter,45,1,pledgeors,US_Canada,2016,396,0.113636364,7
kwic_08,public,45,1,pledgeors,US_Canada,2016,396,0.113636364,7
kwic_09,campaign,43,1,pledgeors,US_Canada,2016,396,0.108585859,8
kwic_10,voting,42,1,pledgeors,US_Canada,2016,396,0.106060606,9
kwic_11,public,28,1,canephoros,US_Canada,2016,102,0.274509804,2
kwic_12,organizations,27,1,canephoros,US_Canada,2016,102,0.264705882,3
kwic_13,communities,26,1,canephoros,US_Canada,2016,102,0.254901961,4
kwic_14,justice,24,1,canephoros,US_Canada,2016,102,0.235294118,5
kwic_15,increasing,21,1,canephoros,US_Canada,2016,102,0.205882353,6
kwic_16,color,21,1,canephoros,US_Canada,2016,102,0.205882353,6
kwic_17,economic,21,1,canephoros,US_Canada,2016,102,0.205882353,6
kwic_18,housing,20,1,canephoros,US_Canada,2016,102,0.196078431,7
kwic_19,movement,19,1,canephoros,US_Canada,2016,102,0.18627451,8
kwic_20,racial,17,1,canephoros,US_Canada,2016,102,0.166666667,9
kwic_21,rights,17,1,canephoros,US_Canada,2016,102,0.166666667,9
kwic_22,access,16,1,canephoros,US_Canada,2016,102,0.156862745,10
kwic_23,policy,16,1,canephoros,US_Canada,2016,102,0.156862745,10
kwic_24,building,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_25,social,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_26,groups,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_27,advocates,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_28,national,14,1,canephoros,US_Canada,2016,102,0.137254902,12
kwic_29,equity,13,1,canephoros,US_Canada,2016,102,0.12745098,13
kwic_30,black,12,1,canephoros,US_Canada,2016,102,0.117647059,14
kwic_31,high,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_32,immigrants,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_33,political,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_34,society,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_35,communities_color,17,2,canephoros,US_Canada,2016,102,0.166666667,9
kwic_36,funding,16,1,roundeleer,US_Canada,2016,57,0.280701754,2
kwic_37,organization,16,1,roundeleer,US_Canada,2016,57,0.280701754,2
kwic_38,financial,15,1,roundeleer,US_Canada,2016,57,0.263157895,3
kwic_39,health,14,1,roundeleer,US_Canada,2016,57,0.245614035,4
kwic_40,justice,13,1,roundeleer,US_Canada,2016,57,0.228070175,5
kwic_41,organizations,13,1,roundeleer,US_Canada,2016,57,0.228070175,5
kwic_42,capacity,12,1,roundeleer,US_Canada,2016,57,0.210526316,6
kwic_43,help,11,1,roundeleer,US_Canada,2016,57,0.192982456,7
kwic_44,project,11,1,roundeleer,US_Canada,2016,57,0.192982456,7
kwic_45,long,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
kwic_46,organizational,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
kwic_47,development,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
