term,records,mentions,obs_region,year,reg_tot_ments,term_year_reg_ment_perc
air,0,0,Latin_America_and_the_Caribbean,2016,0,0
salinized,0,0,Latin_America_and_the_Caribbean,2016,19,0
vascon,0,0,Latin_America_and_the_Caribbean,2016,0,0
attroupement,0,0,Latin_America_and_the_Caribbean,2016,0,0
charites,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Latin_America_and_the_Caribbean,2017,0,0
air,0,0,Latin_America_and_the_Caribbean,2018,0,0
ultranegligent,0,0,Latin_America_and_the_Caribbean,2016,0,0
midairs,1,1,Latin_America_and_the_Caribbean,2016,4,0.25
galluptious,1,1,Latin_America_and_the_Caribbean,2016,2,0.5
maliki,0,0,Latin_America_and_the_Caribbean,2016,0,0
nondialectically,45,73,Latin_America_and_the_Caribbean,2016,188,0.388297872
atomy,0,0,Latin_America_and_the_Caribbean,2016,0,0
aboveboard,0,0,Latin_America_and_the_Caribbean,2016,7,0
marara,0,0,Latin_America_and_the_Caribbean,2016,2,0
cucujidae,0,0,Latin_America_and_the_Caribbean,2016,0,0
kiers,0,0,Latin_America_and_the_Caribbean,2016,0,0
antidromic,0,0,Latin_America_and_the_Caribbean,2016,0,0
colloquize,0,0,Latin_America_and_the_Caribbean,2016,0,0
curling,25,67,Latin_America_and_the_Caribbean,2016,252,0.265873016
nutate,0,0,Latin_America_and_the_Caribbean,2016,0,0
anacardic,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Latin_America_and_the_Caribbean,2019,0,0
chelingo,1,1,Latin_America_and_the_Caribbean,2016,5,0.2
fluorhydric,0,0,Latin_America_and_the_Caribbean,2016,1,0
mailcatcher,0,0,Latin_America_and_the_Caribbean,2016,0,0
quadrating,1,1,Latin_America_and_the_Caribbean,2016,3,0.333333333
pentanoic,0,0,Latin_America_and_the_Caribbean,2016,0,0
kaiserdom,0,0,Latin_America_and_the_Caribbean,2016,0,0
palaeornis,105,215,Latin_America_and_the_Caribbean,2016,821,0.261875761
eruptions,88,355,Latin_America_and_the_Caribbean,2016,1594,0.222710163
prehostile,17,19,Latin_America_and_the_Caribbean,2016,104,0.182692308
yellows,0,0,Latin_America_and_the_Caribbean,2016,0,0
expressionists,0,0,Latin_America_and_the_Caribbean,2016,0,0
denouncer,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Global,2016,0,0
kobong,0,0,Latin_America_and_the_Caribbean,2016,0,0
carara,0,0,Latin_America_and_the_Caribbean,2016,0,0
coenanthium,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Global,2017,0,0
cyanastrum,0,0,Latin_America_and_the_Caribbean,2016,0,0
desulphurize,0,0,Latin_America_and_the_Caribbean,2016,2,0
air,0,0,Global,2018,0,0
methinks,9,13,Latin_America_and_the_Caribbean,2016,43,0.302325581
orpins,0,0,Latin_America_and_the_Caribbean,2016,2,0
wakore,23,32,Latin_America_and_the_Caribbean,2016,215,0.148837209
noninflammability,0,0,Latin_America_and_the_Caribbean,2016,0,0
infirmed,0,0,Latin_America_and_the_Caribbean,2016,0,0
hystriciasis,0,0,Latin_America_and_the_Caribbean,2016,0,0
subventral,1,1,Latin_America_and_the_Caribbean,2016,1,1
crassis,27,39,Latin_America_and_the_Caribbean,2016,114,0.342105263
astrophotometer,0,0,Latin_America_and_the_Caribbean,2016,0,0
amide,0,0,Latin_America_and_the_Caribbean,2016,0,0
gigas,0,0,Latin_America_and_the_Caribbean,2016,0,0
choana,0,0,Latin_America_and_the_Caribbean,2016,0,0
prajapati,0,0,Latin_America_and_the_Caribbean,2016,0,0
nonromantic,0,0,Latin_America_and_the_Caribbean,2016,6,0
hypermorally,0,0,Latin_America_and_the_Caribbean,2016,0,0
parl,0,0,Latin_America_and_the_Caribbean,2016,0,0
nonproducible,0,0,Latin_America_and_the_Caribbean,2016,0,0
monk,2,2,Latin_America_and_the_Caribbean,2016,16,0.125
appendiculate,0,0,Latin_America_and_the_Caribbean,2016,0,0
pleurocapsaceous,0,0,Latin_America_and_the_Caribbean,2016,0,0
blackgums,0,0,Latin_America_and_the_Caribbean,2016,0,0
multisulcate,1,1,Latin_America_and_the_Caribbean,2016,6,0.166666667
pallia,0,0,Latin_America_and_the_Caribbean,2016,0,0
morally,0,0,Latin_America_and_the_Caribbean,2016,0,0
taraph,0,0,Latin_America_and_the_Caribbean,2016,0,0
vagrancies,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Global,2019,0,0
air,0,0,Asia_Pacific,2016,0,0
youths,0,0,Latin_America_and_the_Caribbean,2016,0,0
brinjaree,0,0,Latin_America_and_the_Caribbean,2016,0,0
phonesthemic,0,0,Latin_America_and_the_Caribbean,2016,0,0
turrilites,1,3,Latin_America_and_the_Caribbean,2016,7,0.428571429
reinitialized,10,10,Latin_America_and_the_Caribbean,2016,49,0.204081633
nontaxer,1,1,Latin_America_and_the_Caribbean,2016,37,0.027027027
spartans,3,5,Latin_America_and_the_Caribbean,2016,7,0.714285714
geosyncline,0,0,Latin_America_and_the_Caribbean,2016,0,0
drossy,4,4,Latin_America_and_the_Caribbean,2016,17,0.235294118
strain,0,0,Latin_America_and_the_Caribbean,2016,32,0
beethovian,0,0,Latin_America_and_the_Caribbean,2016,0,0
kittel,0,0,Latin_America_and_the_Caribbean,2016,0,0
prediatory,0,0,Latin_America_and_the_Caribbean,2016,6,0
leptomonad,6,8,Latin_America_and_the_Caribbean,2016,42,0.19047619
budder,1,2,Latin_America_and_the_Caribbean,2016,9,0.222222222
emerant,12,30,Latin_America_and_the_Caribbean,2016,85,0.352941176
air,0,0,Asia_Pacific,2017,0,0
air,0,0,Asia_Pacific,2018,0,0
serratoglandulous,0,0,Latin_America_and_the_Caribbean,2016,0,0
bethorning,0,0,Latin_America_and_the_Caribbean,2016,0,0
marmoset,31,45,Latin_America_and_the_Caribbean,2016,147,0.306122449
spinnability,0,0,Latin_America_and_the_Caribbean,2016,3,0
fidgetiness,0,0,Latin_America_and_the_Caribbean,2016,0,0
cibolan,0,0,Latin_America_and_the_Caribbean,2016,0,0
hazardful,1,1,Latin_America_and_the_Caribbean,2016,13,0.076923077
electrogenic,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Asia_Pacific,2019,0,0
setifera,0,0,Latin_America_and_the_Caribbean,2016,1,0
meetings,2,3,Latin_America_and_the_Caribbean,2016,15,0.2
esperantidist,6,11,Latin_America_and_the_Caribbean,2016,22,0.5
sharpy,0,0,Latin_America_and_the_Caribbean,2016,2,0
belittlement,0,0,Latin_America_and_the_Caribbean,2016,0,0
parosmia,0,0,Latin_America_and_the_Caribbean,2016,0,0
conformities,3,4,Latin_America_and_the_Caribbean,2016,11,0.363636364
aquadag,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Middle_East_and_North_Africa,2016,0,0
cataphracted,27,59,Latin_America_and_the_Caribbean,2016,344,0.171511628
air,0,0,Middle_East_and_North_Africa,2017,0,0
formiate,14,20,Latin_America_and_the_Caribbean,2016,44,0.454545455
butterworker,0,0,Latin_America_and_the_Caribbean,2016,0,0
ependyme,0,0,Latin_America_and_the_Caribbean,2016,4,0
whipjack,0,0,Latin_America_and_the_Caribbean,2016,0,0
corporator,0,0,Latin_America_and_the_Caribbean,2016,0,0
karamojo,0,0,Latin_America_and_the_Caribbean,2016,0,0
viscosity,0,0,Latin_America_and_the_Caribbean,2016,0,0
defoamers,1,1,Latin_America_and_the_Caribbean,2016,1,1
trammels,0,0,Latin_America_and_the_Caribbean,2016,0,0
interdebated,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Middle_East_and_North_Africa,2018,0,0
hysterometry,1,1,Latin_America_and_the_Caribbean,2016,2,0.5
bumboatman,0,0,Latin_America_and_the_Caribbean,2016,0,0
uncoordinateness,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Middle_East_and_North_Africa,2019,0,0
disscussive,0,0,Latin_America_and_the_Caribbean,2016,0,0
shoepacks,0,0,Latin_America_and_the_Caribbean,2016,0,0
biuret,0,0,Latin_America_and_the_Caribbean,2016,3,0
hegemonizer,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,US_Canada,2016,0,0
slidable,0,0,Latin_America_and_the_Caribbean,2016,0,0
unsyndicated,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,US_Canada,2017,0,0
unsnared,0,0,Latin_America_and_the_Caribbean,2016,0,0
praenestinian,0,0,Latin_America_and_the_Caribbean,2016,10,0
chelidonine,0,0,Latin_America_and_the_Caribbean,2016,0,0
hemichromatopsia,1,2,Latin_America_and_the_Caribbean,2016,5,0.4
halometer,0,0,Latin_America_and_the_Caribbean,2016,0,0
hemileia,13,17,Latin_America_and_the_Caribbean,2016,39,0.435897436
incisures,0,0,Latin_America_and_the_Caribbean,2016,0,0
sleuthdog,0,0,Latin_America_and_the_Caribbean,2016,0,0
acidifiers,20,30,Latin_America_and_the_Caribbean,2016,117,0.256410256
arteriostrepsis,2,5,Latin_America_and_the_Caribbean,2016,18,0.277777778
air,0,0,US_Canada,2018,0,0
alabastrons,2,2,Latin_America_and_the_Caribbean,2016,35,0.057142857
miserly,0,0,Latin_America_and_the_Caribbean,2016,0,0
leontiasis,0,0,Latin_America_and_the_Caribbean,2016,1,0
air,0,0,US_Canada,2019,0,0
noncongruous,11,14,Latin_America_and_the_Caribbean,2016,144,0.097222222
sowers,0,0,Latin_America_and_the_Caribbean,2016,0,0
damnation,0,0,Latin_America_and_the_Caribbean,2016,0,0
brod,0,0,Latin_America_and_the_Caribbean,2016,2,0
accumulated,1,1,Latin_America_and_the_Caribbean,2016,18,0.055555556
undepreciative,0,0,Latin_America_and_the_Caribbean,2016,0,0
synagogist,0,0,Latin_America_and_the_Caribbean,2016,0,0
allose,0,0,Latin_America_and_the_Caribbean,2016,0,0
forcedly,0,0,Latin_America_and_the_Caribbean,2016,0,0
superelevation,0,0,Latin_America_and_the_Caribbean,2016,0,0
air,0,0,Europe,2016,0,0
grateless,0,0,Latin_America_and_the_Caribbean,2016,0,0
extinctor,0,0,Latin_America_and_the_Caribbean,2016,0,0
unsinew,0,0,Latin_America_and_the_Caribbean,2016,1,0
air,0,0,Europe,2017,0,0
clamping,0,0,Latin_America_and_the_Caribbean,2016,6,0
bogotana,0,0,Latin_America_and_the_Caribbean,2016,0,0
pseudobankrupt,12,18,Latin_America_and_the_Caribbean,2016,77,0.233766234
reasonings,0,0,Latin_America_and_the_Caribbean,2016,0,0
cultigens,0,0,Latin_America_and_the_Caribbean,2016,0,0
