FIPS,State_abv,County_Name,oil_change_group,gas_change_group,oil_gas_change_group,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,citizens,citizensOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,prienv,prienvOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,tot_pop,pop_under5,pop_5to9,pop_10to14,pop_15to19,pop_20to24,pop_25to34,pop_35to44,pop_45to54,pop_55to59,pop_60to64,pop_65to74,pop_75to84,pop_85+,gas,oil,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,Economic_Type_Label,Farming_2015_Update,Mining_2015-Update,Manufacturing_2015_Update,Government_2015_Update,Recreation_2015_Update,Nonspecialized_2015_Update,Low_Education_2015_Update,Low_Employment_Cnty_2008_2012_25_64,Pop_Loss_2010,Retirement_Dest_2015_Update,Persistent_Poverty_2013,Persistent_Related_Child_Poverty_2013,Region,pct_und5,pct_5to9,pct_10to14,pct_15to19,pct_20to24,pct_youth,oil_producer,gas_producer
1001,AL,Autauga County,Status Quo,Status Quo,Status Quo,59.476,19.778,46.971,40.041,36.184,34.858,48.943,7.905,48.048,51.945,59.036,26.966,58.372,26.435,51.675,31.329,49.425,37.188,33.378,53.263,41.318,58.683,79.946,17.42,71.436,25.732,59.103,39.063,57.015,38.975,55.963,42.603,77.747,19.342,39.218,56.616,62.396,34.67,70.609,28.966,60.109,14.988,56.382,16.384,52.95,22.27,49.58,18.175,49.963,18.062,64.844,31.935,27.253,72.704,17.977,80.654,55049,3172,3819,4239,3949,3404,6727,7588,8055,3562,2839,4619,2417,659,0,0,1,0,Nonspecialized,0,0,0,0,0,1,0,0,0,1,0,0,South,0.05762139185089647,0.06937455721266508,0.07700412359897546,0.07173608966557067,0.0618358189976203,0.33757198132572797,non_producer_oil,non_producer_gas
1003,AL,Baldwin County,Status Quo,H_Decline,H_Decline,60.062,21.933,46.129,39.811,35.712,37.552,51.123,8.317,48.79,51.135,60.103,26.998,58.812,27.745,51.55,33.624,49.098,39.642,32.658,56.309,40.086,59.914,80.095,16.555,70.694,26.099,58.139,40.141,55.342,40.874,55.995,42.688,77.767,19.026,39.932,56.169,60.87,35.588,69.999,29.723,60.238,15.102,57.009,16.563,53.159,23.484,49.989,18.996,49.431,18.707,64.19,32.827,30.199,69.77,20.694,77.999,199510,11432,12513,12574,12124,10921,22651,24710,27595,13403,14249,22381,11127,3830,51041072,94638,1,5,Recreation,0,0,0,0,1,0,0,0,0,1,0,0,South,0.05730038594556664,0.06271866071876096,0.06302440980401985,0.0607688837652248,0.054739110821512706,0.29855145105508496,oil_producer,gas_producer
1005,AL,Barbour County,Status Quo,Status Quo,Status Quo,67.862,11.588,51.93,37.128,41.492,25.576,57.897,5.785,57.342,42.535,65.032,17.553,62.627,18.033,57.631,21.666,56.564,26.333,42.369,40.835,50.986,49.014,82.142,14.84,74.888,21.547,67.697,30.019,66.352,29.682,60.222,37.97,79.818,16.825,35.809,60.006,56.682,39.576,79.472,20.043,64.238,12.375,61.416,13.022,60.885,14.907,57.231,12.873,58.252,12.874,69.24,27.044,28.029,71.832,16.276,82.001,26614,1472,1713,1589,1507,1946,3653,3295,3662,1757,1621,2661,1306,432,0,0,0,3,Maufacturing,0,0,1,0,0,0,1,1,0,0,1,1,South,0.05530923574058766,0.06436462012474638,0.05970541820094687,0.056624333057789134,0.07311941083640189,0.3091230179604719,non_producer_oil,non_producer_gas
1007,AL,Bibb County,Status Quo,Status Quo,Status Quo,58.232,20.045,45.592,41.583,34.476,34.132,49.326,7.891,47.417,52.467,58.162,26.373,56.384,26.886,50.266,31.333,49.238,36.34,34.253,51.492,41.526,58.474,79.497,17.371,70.432,26.282,58.413,39.561,57.863,38.422,53.95,44.329,76.529,20.208,41.409,53.815,63.24,33.433,70.903,28.636,58.404,15.652,55.192,16.952,51.643,21.932,48.855,18.132,49.933,17.688,63.812,32.726,25.73,74.147,17.284,81.341,22572,1150,1185,1507,1527,1453,3119,3039,3480,1469,1283,2049,1110,201,400504,0,1,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,0,1,South,0.050948077263866735,0.05249867091972355,0.06676413255360623,0.0676501860712387,0.06437178805599858,0.3022328548644338,non_producer_oil,gas_producer
1009,AL,Blount County,Status Quo,Status Quo,Status Quo,52.956,26.374,44.09,41.153,32.142,38.182,43.864,9.276,43.385,56.549,55.534,31.594,54.702,31.918,47.579,37.12,45.723,42.862,30.27,58.085,37.096,62.904,78.113,18.737,68.106,29.091,54.988,43.311,52.285,44.147,51.89,46.304,74.862,22.121,42.152,52.423,65.166,31.839,65.094,34.589,56.331,17.328,53.085,19.078,48.445,26.353,45.248,21.647,45.527,21.559,61.112,35.662,26.064,73.849,18.272,80.696,57704,3512,3780,3913,3903,3124,6672,7346,8138,3612,3783,6045,3077,799,21496,0,1,0,Nonspecialized,0,0,0,0,0,1,1,1,0,0,0,0,South,0.060862331900734784,0.06550672397060862,0.0678115901843893,0.06763829197282684,0.05413836129211146,0.315957299320671,non_producer_oil,gas_producer
1011,AL,Bullock County,Status Quo,Status Quo,Status Quo,73.924,6.529,56.726,32.677,48.908,18.105,64.022,4.116,64.653,35.238,70.156,11.873,67.56,12.377,64.063,14.593,63.4,18.352,49.132,31.841,59.086,40.914,83.777,13.123,77.589,18.829,74.872,23.124,72.45,23.768,65.307,32.679,81.393,15.377,28.785,67.428,47.926,48.05,85.075,14.425,68.17,9.793,65.871,9.976,67.647,10.19,64.506,9.01,64.95,9.416,73.644,22.524,30.205,69.646,14.488,83.638,10552,631,668,599,623,698,1310,1564,1447,566,849,1013,401,183,0,0,0,3,Maufacturing,0,0,1,1,0,0,1,1,0,0,1,1,South,0.059799090219863536,0.06330553449583018,0.05676648976497346,0.05904094010614101,0.06614859742228961,0.3050606520090978,non_producer_oil,non_producer_gas
1013,AL,Butler County,Status Quo,Status Quo,Status Quo,65.761,13.13,50.475,38.045,39.8,27.898,55.708,6.099,54.519,45.447,63.464,19.4,61.491,19.561,55.876,23.464,54.685,28.392,39.644,43.194,48.631,51.369,81.696,15.493,74.611,22.075,66.131,31.655,65.36,30.639,59.887,38.455,79.665,17.125,35.977,59.957,57.78,38.737,77.758,21.643,62.299,12.916,59.246,13.727,57.564,16.85,55.78,13.676,56.742,13.771,68.561,27.817,27.253,72.663,15.952,82.413,20280,1208,1347,1340,1270,1166,2440,2439,2557,1375,1462,2012,1191,473,0,0,0,0,Nonspecialized,0,0,0,0,0,1,0,1,1,0,1,1,South,0.059566074950690336,0.06642011834319526,0.06607495069033531,0.0626232741617357,0.05749506903353057,0.3121794871794872,non_producer_oil,non_producer_gas
1015,AL,Calhoun County,Status Quo,Status Quo,Status Quo,61.088,19.256,49.085,37.953,37.738,32.896,52.412,7.489,50.561,49.374,60.57,24.418,59.265,24.547,52.739,29.561,50.784,35.284,34.702,51.423,43.739,56.261,80.7,16.444,72.817,23.669,62.384,35.713,59.238,36.72,57.867,40.497,78.237,18.773,38.091,57.866,59.191,37.84,73.224,26.385,60.578,14.521,57.278,15.737,54.562,21.155,51.105,17.303,51.435,17.256,65.434,31.141,28.53,71.42,18.243,80.288,115883,6529,7450,7034,7808,8401,14765,14033,15523,8125,7754,10817,5673,1971,0,0,1,4,Federal/State Government,0,0,0,1,0,0,0,1,0,0,0,0,South,0.056341309769336316,0.06428898112751655,0.06069915345650354,0.06737830397901332,0.07249553428889484,0.3212032826212646,non_producer_oil,non_producer_gas
1017,AL,Chambers County,Status Quo,Status Quo,Status Quo,64.403,14.28,48.89,39.427,39.303,29.133,54.105,6.476,52.856,47.124,62.173,20.506,59.965,21.237,54.404,25.266,52.763,30.333,37.941,45.048,46.976,53.024,80.657,16.806,74.448,22.292,65.471,32.269,63.844,31.974,59.313,39.05,79.405,17.435,37.215,58.823,58.326,38.341,76.547,22.771,62.425,13.142,58.76,14.352,56.607,16.902,54.659,14.33,55.54,14.608,67.563,28.756,26.378,73.579,15.514,82.825,34018,2049,1922,2010,1971,2212,3941,4078,4781,2636,2163,3615,1692,948,0,0,0,0,Nonspecialized,0,0,0,0,0,1,1,1,1,0,0,1,South,0.06023281791992475,0.056499500264565815,0.05908636604150744,0.05793991416309013,0.06502439884766888,0.298782997236757,non_producer_oil,non_producer_gas
1019,AL,Cherokee County,Status Quo,Status Quo,Status Quo,56.16,24.064,44.867,41.289,33.432,37.803,47.491,8.793,45.682,54.207,56.92,29.807,55.465,30.301,48.556,35.255,47.237,40.533,31.975,56.103,39.259,60.741,79.033,17.709,69.284,27.699,56.353,41.814,56.081,40.641,52.096,46.249,75.928,20.909,42.172,52.938,65.008,31.915,68.867,30.9,57.59,16.428,54.394,17.816,49.815,25.093,46.057,20.458,46.767,19.857,62.367,34.191,26.528,73.342,18.899,79.86,25897,1267,1405,1671,1485,1375,2468,3048,3808,2128,1979,3294,1606,363,0,0,0,0,Nonspecialized,0,0,0,0,0,1,0,1,0,0,0,0,South,0.04892458585936595,0.0542533884233695,0.06452484843804301,0.057342549330038226,0.05309495308336873,0.2781403251341854,non_producer_oil,non_producer_gas
