"cowcode","location","asciiname","longitude","latitude","event_date","side","numreports","max_scope","max_partviolence","max_secengagement","mean_avg_numparticipants"
40,3534363,"Vertientes",-78.14979,21.25817,2003-05-11,0,1,0,NA,NA,NA
40,3534476,"Velasco",-76.34885,21.08575,2011-11-24,1,1,0,NA,NA,NA
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2003-05-01,0,2,0,NA,NA,NA
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2003-12-07,0,1,0,NA,NA,2000
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2004-06-14,0,1,0,NA,NA,NA
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2007-12-04,1,4,0,NA,2,216.666666666667
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2011-05-01,0,2,0,NA,NA,NA
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2011-09-08,1,1,0,NA,2,NA
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2013-05-01,0,1,0,NA,NA,NA
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2015-05-01,0,1,0,NA,NA,NA
40,3536729,"Santiago de Cuba",-75.82667,20.02083,2015-07-26,0,1,0,NA,NA,10000
40,3537831,"Santa Efigenia",-77.38333,20.95,2004-05-19,0,1,0,NA,NA,NA
40,3537901,"Santa Clara",-76.30028,21.03444,2011-02-23,0,2,0,NA,NA,40
40,3537901,"Santa Clara",-76.30028,21.03444,2011-02-24,0,1,0,NA,NA,40
40,3537906,"Santa Clara",-79.96472,22.40694,2003-10-08,0,1,0,NA,NA,70000
40,3537906,"Santa Clara",-79.96472,22.40694,2010-07-09,1,1,0,NA,0,NA
40,3537906,"Santa Clara",-79.96472,22.40694,2010-07-27,0,1,0,NA,NA,90000
40,3537906,"Santa Clara",-79.96472,22.40694,2011-11-24,1,1,0,NA,NA,NA
40,3538758,"San Nicolas de Bari",-81.91333,22.78444,2004-05-30,0,1,0,NA,NA,10000
40,3538803,"San Miguel del Padron",-82.29472,23.06639,2004-04-04,0,1,0,NA,NA,10000
40,3539093,"San Luis",-75.85031,20.18809,2003-12-08,0,1,0,NA,NA,NA
40,3540667,"Sancti Spiritus",-79.4425,21.92972,2003-05-01,0,1,0,NA,NA,200000
40,3540667,"Sancti Spiritus",-79.4425,21.92972,2003-12-23,0,1,0,NA,NA,NA
40,3540885,"San Antonio de los Banos",-82.50099,22.89018,2004-05-30,0,1,0,NA,NA,NA
40,3541440,"Sagua la Grande",-80.07556,22.80667,2011-11-24,1,1,0,NA,NA,NA
40,3543498,"Primero de Enero",-78.4313,21.94501,2003-08-17,0,1,0,NA,NA,NA
40,3544091,"Pinar del Rio",-83.69667,22.41667,2003-05-01,0,1,0,NA,NA,100000
40,3544091,"Pinar del Rio",-83.69667,22.41667,2011-11-24,1,1,0,NA,NA,NA
40,3545064,"Palma Soriano",-75.99362,20.2113,2011-11-24,1,1,0,NA,NA,NA
40,3545064,"Palma Soriano",-75.99362,20.2113,2011-12-02,1,1,0,NA,2,50
40,3545064,"Palma Soriano",-75.99362,20.2113,2012-04-03,1,1,0,NA,2,NA
40,3546894,"Minas",-77.61033,21.48802,2003-03-30,0,1,0,NA,NA,10000
40,3546894,"Minas",-77.61033,21.48802,2004-05-17,0,3,0,NA,NA,NA
40,3547260,"Media Luna",-77.43532,20.14298,2004-11-07,0,1,0,NA,NA,10000
40,3547311,"Mayari Arriba",-75.53202,20.41548,2005-03-11,0,1,0,NA,NA,NA
40,3547398,"Matanzas",-81.5775,23.04111,2004-05-23,0,1,0,NA,NA,100000
40,3547884,"Manuel Tames",-75.05346,20.17932,2003-06-22,0,1,0,NA,NA,10000
40,3547930,"Mantua",-84.28599,22.29058,2005-01-23,0,1,0,NA,NA,5000
40,3548099,"Manati",-76.93403,21.3107,2004-11-13,0,1,0,NA,NA,5000
40,3548099,"Manati",-76.93403,21.3107,2004-11-14,0,1,0,NA,NA,5000
40,3552322,"La Palma",-83.55415,22.74995,2003-07-17,0,3,0,NA,NA,3000
40,3552554,"La Maya",-75.64574,20.1688,2004-11-28,0,1,0,NA,NA,NA
40,3553004,"La Lisa",-82.43333,23.06667,2003-12-20,0,1,0,NA,NA,10000
40,3553004,"La Lisa",-82.43333,23.06667,2003-12-21,0,1,0,NA,NA,10000
40,3553343,"Lajas",-80.2931,22.41479,2004-08-22,0,2,0,NA,NA,5000
40,3553478,"Havana",-82.38304,23.13302,2003-01-18,0,3,0,NA,NA,100
40,3553478,"Havana",-82.38304,23.13302,2003-01-29,0,1,0,NA,NA,2000
40,3553478,"Havana",-82.38304,23.13302,2003-02-16,0,1,0,NA,NA,5000
40,3553478,"Havana",-82.38304,23.13302,2003-05-01,0,7,0,0,NA,625000
40,3553478,"Havana",-82.38304,23.13302,2003-06-08,0,1,0,NA,NA,NA
40,3553478,"Havana",-82.38304,23.13302,2003-09-19,0,1,0,NA,1,NA
40,3553478,"Havana",-82.38304,23.13302,2003-11-28,0,1,0,NA,NA,20000
40,3553478,"Havana",-82.38304,23.13302,2004-03-15,0,1,0,NA,NA,NA
40,3553478,"Havana",-82.38304,23.13302,2004-05-01,0,2,0,NA,NA,1000000
40,3553478,"Havana",-82.38304,23.13302,2004-10-24,0,2,0,NA,NA,10000
40,3553478,"Havana",-82.38304,23.13302,2005-02-18,1,1,0,NA,NA,NA
40,3553478,"Havana",-82.38304,23.13302,2005-03-20,0,2,0,0,1,175
40,3553478,"Havana",-82.38304,23.13302,2005-03-20,1,2,0,0,1,30
