"id","cowcode","location","latitude","longitude","asciiname","event_date","side","actors","issue","scope","part_violence","sec_engagement","numparticipants","avg_numparticipants","source","version"
3465,40,3534363,21.25817,-78.14979,"Vertientes",2003-05-11,0,"","for:Open Forum of the Revolution rally",0,NA,NA,"",NA,"BBC Summary of World Broadcasts",1
5099,40,3534476,21.08575,-76.34885,"Velasco",2011-11-24,1,"","against:homophobia;for:human rights;against:discrimination",0,NA,NA,"",NA,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
3433,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2003-05-01,0,"","for:May Day rally;for:supporting revolution",0,NA,NA,"",NA,"BBC Summary of World Broadcasts",1
3440,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2003-05-01,0,"","for:May Day parades",0,NA,NA,"",NA,"BBC Summary of World Broadcasts",1
3513,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2003-12-07,0,"students","for:anniversary of Antonio Maceo's fall",0,NA,NA,"2000",2000,"BBC Sumary of World Broadcasts",1
3885,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2004-06-14,0,"","for:birth anniversary of Antonio Maceo;for:anniversary of Che Guevara",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
4412,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2007-12-04,1,"dissidents","against:arrest of government opponent",0,NA,2,"",NA,"Agence France Presse -- English",1
4354,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2007-12-04,1,"dissidents","against:arrest of government opponent",0,NA,2,"25",25,"Agence France Presse -- English",1
4411,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2007-12-04,1,"dissidents","for:anti-government protest",0,NA,2,"600",600,"Agence France Presse -- English",1
4410,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2007-12-04,1,"dissidents","against:arrest of dissidents",0,NA,2,"two dozens",25,"The Associated Press",1
5080,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2011-05-01,0,"Raul Castro","for:honoring Cuban worker",0,NA,NA,"",NA,"Agence France Presse -- English",1
5082,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2011-05-01,0,"Castro","for:socialism;for:recent economic changes",0,NA,NA,"",NA,"The Associated Press",1
5086,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2011-09-08,1,"Ladies in White","",0,NA,2,"",NA,"The Associated Press",1
290,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2013-05-01,0,"","",0,NA,NA,"",NA,"Agence France Presse -- English",2
462,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2015-05-01,0,"","",0,NA,NA,"",NA,"The Associated Press",2
370,40,3536729,20.02083,-75.82667,"Santiago de Cuba",2015-07-26,0,"locals;members of the army;revolution veterans;leaders of political organizations","for:celebration of National Rebellion Day",0,NA,NA,"10000",10000,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",2
3881,40,3537831,20.95,-77.38333,"Santa Efigenia",2004-05-19,0,"","for:commemoration of national hero Jose Marti",0,NA,NA,"",NA,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
4991,40,3537901,21.03444,-76.30028,"Santa Clara",2011-02-23,0,"","against:dissidents' protest",0,NA,NA,"40",40,"Agence France Presse -- English",1
4985,40,3537901,21.03444,-76.30028,"Santa Clara",2011-02-23,0,"","against:protest of Guillermo Farinas",0,NA,NA,"40",40,"Agence France Presse -- English",1
4988,40,3537901,21.03444,-76.30028,"Santa Clara",2011-02-24,0,"","against:dissidents' protest",0,NA,NA,"40",40,"Agence France Presse -- English",1
3506,40,3537906,22.40694,-79.96472,"Santa Clara",2003-10-08,0,"","for:homage to Che Guevara on anniversary of his fall in combat in Bolivia",0,NA,NA,"70000",70000,"BBC Sumary of World Broadcasts",1
4953,40,3537906,22.40694,-79.96472,"Santa Clara",2010-07-09,1,"dissidents","for:end of Farinas hunger strike;for:human rights",0,NA,0,"",NA,"Agence France Presse -- English",1
4954,40,3537906,22.40694,-79.96472,"Santa Clara",2010-07-27,0,"Raul Castro;first vice president;first secretary of the Communist Party in Villa Clara","for:revolution's anniversary;for:productivity;for:friendship between Cuba and Venezuela;for:socialism",0,NA,NA,"90000",90000,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
5095,40,3537906,22.40694,-79.96472,"Santa Clara",2011-11-24,1,"","against:homophobia;for:human rights;against:discrimination;for:civil rights",0,NA,NA,"",NA,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
3883,40,3538758,22.78444,-81.91333,"San Nicolas de Bari",2004-05-30,0,"","for:Open Forum of the Revolution rally",0,NA,NA,"10000",10000,"BBC Sumary of World Broadcasts",1
3874,40,3538803,23.06639,-82.29472,"San Miguel del Padron",2004-04-04,0,"","for:Open Forum of the Revolution rally",0,NA,NA,"10000",10000,"BBC Sumary of World Broadcasts",1
3512,40,3539093,20.18809,-75.85031,"San Luis",2003-12-08,0,"","for:anniversary of San Luis's liberation by the Revolutionary Rebel Army",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
3435,40,3540667,21.92972,-79.4425,"Sancti Spiritus",2003-05-01,0,"","for:May Day celebration",0,NA,NA,"200000",200000,"BBC Summary of World Broadcasts",1
3516,40,3540667,21.92972,-79.4425,"Sancti Spiritus",2003-12-23,0,"","for:anniversary of the city's liberation by the Rebel Army",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
3884,40,3540885,22.89018,-82.50099,"San Antonio de los Banos",2004-05-30,0,"tobacco workers;politburo members","for:anniversary of Lazaro Pena;for:Tobacco Workers Day",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
5096,40,3541440,22.80667,-80.07556,"Sagua la Grande",2011-11-24,1,"","against:homophobia;for:human rights;against:discrimination",0,NA,NA,"",NA,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
3485,40,3543498,21.94501,-78.4313,"Primero de Enero",2003-08-17,0,"","for:Open Forum of the Revolution rally;for:Cuban heroes imprisoned in the US",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
3434,40,3544091,22.41667,-83.69667,"Pinar del Rio",2003-05-01,0,"","for:Mayday celebrations",0,NA,NA,"100000",100000,"BBC Summary of World Broadcasts",1
5094,40,3544091,22.41667,-83.69667,"Pinar del Rio",2011-11-24,1,"","against:homophobia;for:human rights;against:discrimination",0,NA,NA,"",NA,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
5093,40,3545064,20.2113,-75.99362,"Palma Soriano",2011-11-24,1,"","against:homophobia;for:human rights;against:discrimination",0,NA,NA,"",NA,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
5147,40,3545064,20.2113,-75.99362,"Palma Soriano",2011-12-02,1,"dissidents;marchers","against:dictatorship;for:liberty;for:democracy",0,NA,2,"50",50,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
5249,40,3545064,20.2113,-75.99362,"Palma Soriano",2012-04-03,1,"Ladies in White","",0,NA,2,"",NA,"Agence France Presse -- English",1
3422,40,3546894,21.48802,-77.61033,"Minas",2003-03-30,0,"","for:attending Open Forum of the Revolution rally",0,NA,NA,"10000",10000,"BBC Summary of World Broadcasts",1
3880,40,3546894,21.48802,-77.61033,"Minas",2004-05-17,0,"farmers","for:Open Forum of the Revolution rally;for:National Farmers' Day;for:anniversary of Agrarian Reform Law",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
3878,40,3546894,21.48802,-77.61033,"Minas",2004-05-17,0,"","for:Open Forum of the Revolution rally;for:National Farmers' Day and anniversary of Agrarian Reform Law",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
3879,40,3546894,21.48802,-77.61033,"Minas",2004-05-17,0,"","for:Open Forum of the Revolution rally;for:National Farmers' Day;for:anniversary of Agrarian Reform Law",0,NA,NA,"",NA,"BBC Sumary of World Broadcasts",1
3946,40,3547260,20.14298,-77.43532,"Media Luna",2004-11-07,0,"","for:Open Forum of the Revolution rally",0,NA,NA,"10000",10000,"BBC Sumary of World Broadcasts",1
3958,40,3547311,20.41548,-75.53202,"Mayari Arriba",2005-03-11,0,"","for:anniversary of founding of Frank Pais Second Eastern Front",0,NA,NA,"",NA,"BBC Monitoring Latin America - Political Supplied by BBC Worldwide Monitoring",1
