region,year,num_recs
Asia Pacific,2013,767
Europe,2013,1157
Eurasia,2013,652
Middle East and North Africa,2013,253
US/Canada,2013,494
Latin America and the Caribbean,2013,308
Africa,2013,363
Global,2013,304
Asia Pacific,2014,444
Europe,2014,807
Eurasia,2014,279
Middle East and North Africa,2014,190
US/Canada,2014,470
Latin America and the Caribbean,2014,281
Africa,2014,279
Global,2014,235
Asia Pacific,2015,328
Europe,2015,787
Eurasia,2015,229
Middle East and North Africa,2015,158
US/Canada,2015,508
Latin America and the Caribbean,2015,247
Africa,2015,334
Global,2015,287
Asia Pacific,2016,301
Europe,2016,552
Eurasia,2016,198
Middle East and North Africa,2016,135
US/Canada,2016,473
Latin America and the Caribbean,2016,269
Africa,2016,365
Global,2016,316
Asia Pacific,2017,321
Europe,2017,615
Eurasia,2017,189
Middle East and North Africa,2017,187
US/Canada,2017,676
Latin America and the Caribbean,2017,307
Africa,2017,369
Global,2017,306
Asia Pacific,2018,266
Europe,2018,582
Eurasia,2018,175
Middle East and North Africa,2018,183
US/Canada,2018,588
Latin America and the Caribbean,2018,317
Africa,2018,394
Global,2018,352
Asia Pacific,2019,305
Europe,2019,613
Eurasia,2019,195
Middle East and North Africa,2019,159
US/Canada,2019,711
Latin America and the Caribbean,2019,373
Africa,2019,387
Global,2019,381
