id,context_term,occurences,ngram,target_term,region,year,target_total_occurences,pct_together,targ_reg_year_rank
kwic_01,aa,61,1,pledgeors,US_Canada,2016,396,0.154040404,2
kwic_02,aaa,61,1,pledgeors,US_Canada,2016,396,0.154040404,2
kwic_03,aah,57,1,pledgeors,US_Canada,2016,396,0.143939394,3
kwic_04,aahed,48,1,pledgeors,US_Canada,2016,396,0.121212121,4
kwic_05,aahing,47,1,pledgeors,US_Canada,2016,396,0.118686869,5
kwic_06,aahs,46,1,pledgeors,US_Canada,2016,396,0.116161616,6
kwic_07,aal,45,1,pledgeors,US_Canada,2016,396,0.113636364,7
kwic_08,aalii,45,1,pledgeors,US_Canada,2016,396,0.113636364,7
kwic_09,aaliis,43,1,pledgeors,US_Canada,2016,396,0.108585859,8
kwic_10,aals,42,1,pledgeors,US_Canada,2016,396,0.106060606,9
kwic_11,aalii,28,1,canephoros,US_Canada,2016,102,0.274509804,2
kwic_12,aam,27,1,canephoros,US_Canada,2016,102,0.264705882,3
kwic_13,aani,26,1,canephoros,US_Canada,2016,102,0.254901961,4
kwic_14,aardvark,24,1,canephoros,US_Canada,2016,102,0.235294118,5
kwic_15,aardvarks,21,1,canephoros,US_Canada,2016,102,0.205882353,6
kwic_16,aardwolf,21,1,canephoros,US_Canada,2016,102,0.205882353,6
kwic_17,aardwolves,21,1,canephoros,US_Canada,2016,102,0.205882353,6
kwic_18,aargh,20,1,canephoros,US_Canada,2016,102,0.196078431,7
kwic_19,aaron,19,1,canephoros,US_Canada,2016,102,0.18627451,8
kwic_20,aaronic,17,1,canephoros,US_Canada,2016,102,0.166666667,9
kwic_21,aahs,17,1,canephoros,US_Canada,2016,102,0.166666667,9
kwic_22,aaronical,16,1,canephoros,US_Canada,2016,102,0.156862745,10
kwic_23,aahing,16,1,canephoros,US_Canada,2016,102,0.156862745,10
kwic_24,aaronite,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_25,aaronitic,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_26,aarrgh,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_27,aarrghh,15,1,canephoros,US_Canada,2016,102,0.147058824,11
kwic_28,aahed,14,1,canephoros,US_Canada,2016,102,0.137254902,12
kwic_29,aaru,13,1,canephoros,US_Canada,2016,102,0.12745098,13
kwic_30,aas,12,1,canephoros,US_Canada,2016,102,0.117647059,14
kwic_31,aasvogel,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_32,aasvogels,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_33,aa,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_34,ab,11,1,canephoros,US_Canada,2016,102,0.107843137,15
kwic_35,aba,17,2,canephoros,US_Canada,2016,102,0.166666667,9
kwic_36,ababdeh,16,1,roundeleer,US_Canada,2016,57,0.280701754,2
kwic_37,ababua,16,1,roundeleer,US_Canada,2016,57,0.280701754,2
kwic_38,abac,15,1,roundeleer,US_Canada,2016,57,0.263157895,3
kwic_39,abaca,14,1,roundeleer,US_Canada,2016,57,0.245614035,4
kwic_40,aardvark,13,1,roundeleer,US_Canada,2016,57,0.228070175,5
kwic_41,aam,13,1,roundeleer,US_Canada,2016,57,0.228070175,5
kwic_42,abacay,12,1,roundeleer,US_Canada,2016,57,0.210526316,6
kwic_43,abacas,11,1,roundeleer,US_Canada,2016,57,0.192982456,7
kwic_44,abacate,11,1,roundeleer,US_Canada,2016,57,0.192982456,7
kwic_45,abacaxi,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
kwic_46,abaci,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
kwic_47,abacinate,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
kwic_48,aalii,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
kwic_49,abacination,9,1,roundeleer,US_Canada,2016,57,0.157894737,9
kwic_50,abacisci,8,1,roundeleer,US_Canada,2016,57,0.140350877,10
kwic_51,aahing,7,1,roundeleer,US_Canada,2016,57,0.122807018,11
kwic_52,abaciscus,17,2,roundeleer,US_Canada,2016,57,0.298245614,1
kwic_53,abacate,17,1,totterer,US_Canada,2016,19,0.894736842,1
kwic_54,aahed,8,1,totterer,US_Canada,2016,19,0.421052632,2
kwic_55,abacist,8,1,totterer,US_Canada,2016,19,0.421052632,2
kwic_56,aback,6,1,totterer,US_Canada,2016,19,0.315789474,3
kwic_57,abacli,5,1,totterer,US_Canada,2016,19,0.263157895,4
kwic_58,abacot,5,1,totterer,US_Canada,2016,19,0.263157895,4
kwic_59,abacterial,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_60,abactinal,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_61,abactinally,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_62,aalii,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_63,abacay,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_64,aahing,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_65,abaction,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_66,abactor,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_67,abaculi,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_68,abaculus,4,1,totterer,US_Canada,2016,19,0.210526316,5
kwic_69,abacus,3,1,totterer,US_Canada,2016,19,0.157894737,6
kwic_70,abacuses,3,1,totterer,US_Canada,2016,19,0.157894737,6
kwic_71,abada,3,1,totterer,US_Canada,2016,19,0.157894737,6
kwic_72,abaddon,3,1,totterer,US_Canada,2016,19,0.157894737,6
kwic_73,abac,3,1,totterer,US_Canada,2016,19,0.157894737,6
kwic_74,abadejo,3,1,totterer,US_Canada,2016,19,0.157894737,6
kwic_75,abadengo,3,1,totterer,US_Canada,2016,19,0.157894737,6
kwic_76,abadia,8,2,totterer,US_Canada,2016,19,0.421052632,2
kwic_77,abadite,5,2,totterer,US_Canada,2016,19,0.263157895,4
kwic_78,aalii,29,1,hamotzi,US_Canada,2016,196,0.147959184,1
kwic_79,aam,29,1,hamotzi,US_Canada,2016,196,0.147959184,1
kwic_80,abaff,28,1,hamotzi,US_Canada,2016,196,0.142857143,2
kwic_81,aaronitic,27,1,hamotzi,US_Canada,2016,196,0.137755102,3
kwic_82,abaft,26,1,hamotzi,US_Canada,2016,196,0.132653061,4
kwic_83,abay,25,1,hamotzi,US_Canada,2016,196,0.12755102,5
kwic_84,abacate,24,1,hamotzi,US_Canada,2016,196,0.12244898,6
kwic_85,aahing,23,1,hamotzi,US_Canada,2016,196,0.117346939,7
kwic_86,abayah,23,1,hamotzi,US_Canada,2016,196,0.117346939,7
kwic_87,abaisance,22,1,hamotzi,US_Canada,2016,196,0.112244898,8
kwic_88,aaliis,21,1,hamotzi,US_Canada,2016,196,0.107142857,9
kwic_89,abaised,7,1,middlingish,US_Canada,2016,18,0.388888889,1
kwic_90,abaiser,5,1,middlingish,US_Canada,2016,18,0.277777778,3
kwic_91,aahs,4,1,middlingish,US_Canada,2016,18,0.222222222,4
kwic_92,aahed,4,1,middlingish,US_Canada,2016,18,0.222222222,4
kwic_93,abaisse,4,1,middlingish,US_Canada,2016,18,0.222222222,4
kwic_94,ababua,4,1,middlingish,US_Canada,2016,18,0.222222222,4
kwic_95,abaissed,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_96,abaca,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_97,abacist,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_98,abaka,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_99,aardvark,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_100,abakas,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_101,abalation,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_102,abalienate,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_103,abalienated,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_104,aahing,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_105,abacate,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_106,abalienating,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_107,aardwolves,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_108,abalienation,3,1,middlingish,US_Canada,2016,18,0.166666667,5
kwic_109,abalone,5,2,middlingish,US_Canada,2016,18,0.277777778,3
kwic_110,abacate,23,1,pseudointellectually,US_Canada,2016,73,0.315068493,1
kwic_111,aalii,20,1,pseudointellectually,US_Canada,2016,73,0.273972603,2
kwic_112,aahing,19,1,pseudointellectually,US_Canada,2016,73,0.260273973,3
kwic_113,abaff,19,1,pseudointellectually,US_Canada,2016,73,0.260273973,3
kwic_114,abalones,18,1,pseudointellectually,US_Canada,2016,73,0.246575342,4
kwic_115,aaronitic,17,1,pseudointellectually,US_Canada,2016,73,0.232876712,5
kwic_116,abama,16,1,pseudointellectually,US_Canada,2016,73,0.219178082,6
kwic_117,abamp,16,1,pseudointellectually,US_Canada,2016,73,0.219178082,6
kwic_118,abaisance,15,1,pseudointellectually,US_Canada,2016,73,0.205479452,7
kwic_119,abampere,15,1,pseudointellectually,US_Canada,2016,73,0.205479452,7
kwic_120,abamperes,15,1,pseudointellectually,US_Canada,2016,73,0.205479452,7
kwic_121,aback,14,1,pseudointellectually,US_Canada,2016,73,0.191780822,8
kwic_122,abamps,14,1,pseudointellectually,US_Canada,2016,73,0.191780822,8
kwic_123,aasvogel,14,1,pseudointellectually,US_Canada,2016,73,0.191780822,8
kwic_124,aband,14,1,pseudointellectually,US_Canada,2016,73,0.191780822,8
kwic_125,abandon,13,1,pseudointellectually,US_Canada,2016,73,0.178082192,9
kwic_126,abandonable,13,1,pseudointellectually,US_Canada,2016,73,0.178082192,9
kwic_127,abandoned,13,1,pseudointellectually,US_Canada,2016,73,0.178082192,9
kwic_128,abandonedly,13,1,pseudointellectually,US_Canada,2016,73,0.178082192,9
kwic_129,aargh,12,1,pseudointellectually,US_Canada,2016,73,0.164383562,10
kwic_130,abandonee,12,1,pseudointellectually,US_Canada,2016,73,0.164383562,10
kwic_131,aahed,11,1,pseudointellectually,US_Canada,2016,73,0.150684932,11
kwic_132,abandoner,11,1,pseudointellectually,US_Canada,2016,73,0.150684932,11
kwic_133,abandoners,11,1,pseudointellectually,US_Canada,2016,73,0.150684932,11
kwic_134,aaronite,10,1,pseudointellectually,US_Canada,2016,73,0.136986301,12
kwic_135,abactor,10,1,pseudointellectually,US_Canada,2016,73,0.136986301,12
kwic_136,abacination,10,1,pseudointellectually,US_Canada,2016,73,0.136986301,12
kwic_137,abandoning,10,1,pseudointellectually,US_Canada,2016,73,0.136986301,12
kwic_138,abandonment,10,1,pseudointellectually,US_Canada,2016,73,0.136986301,12
kwic_139,abandonments,10,1,pseudointellectually,US_Canada,2016,73,0.136986301,12
kwic_140,aardvark,10,1,pseudointellectually,US_Canada,2016,73,0.136986301,12
kwic_141,aahs,9,1,pseudointellectually,US_Canada,2016,73,0.123287671,13
kwic_142,abandons,9,1,pseudointellectually,US_Canada,2016,73,0.123287671,13
kwic_143,abandum,9,1,pseudointellectually,US_Canada,2016,73,0.123287671,13
kwic_144,abanet,8,1,pseudointellectually,US_Canada,2016,73,0.109589041,14
kwic_145,aam,8,1,pseudointellectually,US_Canada,2016,73,0.109589041,14
kwic_146,abanga,8,1,pseudointellectually,US_Canada,2016,73,0.109589041,14
kwic_147,abanic,8,1,pseudointellectually,US_Canada,2016,73,0.109589041,14
kwic_148,abannition,13,2,pseudointellectually,US_Canada,2016,73,0.178082192,9
kwic_149,abantes,13,2,pseudointellectually,US_Canada,2016,73,0.178082192,9
