ISO_A3,Region Name,Sub-region Name,Intermediate Region Name,Country or Area,M49 Code,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries
DZA,Africa,Northern Africa,,Algeria,12,,,,Developing
EGY,Africa,Northern Africa,,Egypt,818,,,,Developing
LBY,Africa,Northern Africa,,Libya,434,,,,Developing
MAR,Africa,Northern Africa,,Morocco,504,,,,Developing
SDN,Africa,Northern Africa,,Sudan,729,x,,,Developing
TUN,Africa,Northern Africa,,Tunisia,788,,,,Developing
ESH,Africa,Northern Africa,,Western Sahara,732,,,,Developing
IOT,Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory,86,,,,Developing
BDI,Africa,Sub-Saharan Africa,Eastern Africa,Burundi,108,x,x,,Developing
COM,Africa,Sub-Saharan Africa,Eastern Africa,Comoros,174,x,,x,Developing
DJI,Africa,Sub-Saharan Africa,Eastern Africa,Djibouti,262,x,,,Developing
ERI,Africa,Sub-Saharan Africa,Eastern Africa,Eritrea,232,x,,,Developing
ETH,Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia,231,x,x,,Developing
ATF,Africa,Sub-Saharan Africa,Eastern Africa,French Southern Territories,260,,,,Developing
KEN,Africa,Sub-Saharan Africa,Eastern Africa,Kenya,404,,,,Developing
MDG,Africa,Sub-Saharan Africa,Eastern Africa,Madagascar,450,x,,,Developing
MWI,Africa,Sub-Saharan Africa,Eastern Africa,Malawi,454,x,x,,Developing
MUS,Africa,Sub-Saharan Africa,Eastern Africa,Mauritius,480,,,x,Developing
MYT,Africa,Sub-Saharan Africa,Eastern Africa,Mayotte,175,,,,Developing
MOZ,Africa,Sub-Saharan Africa,Eastern Africa,Mozambique,508,x,,,Developing
REU,Africa,Sub-Saharan Africa,Eastern Africa,Réunion,638,,,,Developing
RWA,Africa,Sub-Saharan Africa,Eastern Africa,Rwanda,646,x,x,,Developing
SYC,Africa,Sub-Saharan Africa,Eastern Africa,Seychelles,690,,,x,Developing
SOM,Africa,Sub-Saharan Africa,Eastern Africa,Somalia,706,x,,,Developing
SSD,Africa,Sub-Saharan Africa,Eastern Africa,South Sudan,728,x,x,,Developing
UGA,Africa,Sub-Saharan Africa,Eastern Africa,Uganda,800,x,x,,Developing
TZA,Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania,834,x,,,Developing
ZMB,Africa,Sub-Saharan Africa,Eastern Africa,Zambia,894,x,x,,Developing
ZWE,Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe,716,,x,,Developing
AGO,Africa,Sub-Saharan Africa,Middle Africa,Angola,24,x,,,Developing
CMR,Africa,Sub-Saharan Africa,Middle Africa,Cameroon,120,,,,Developing
CAF,Africa,Sub-Saharan Africa,Middle Africa,Central African Republic,140,x,x,,Developing
TCD,Africa,Sub-Saharan Africa,Middle Africa,Chad,148,x,x,,Developing
COG,Africa,Sub-Saharan Africa,Middle Africa,Congo,178,,,,Developing
COD,Africa,Sub-Saharan Africa,Middle Africa,Democratic Republic of the Congo,180,x,,,Developing
GNQ,Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea,226,,,,Developing
GAB,Africa,Sub-Saharan Africa,Middle Africa,Gabon,266,,,,Developing
STP,Africa,Sub-Saharan Africa,Middle Africa,Sao Tome and Principe,678,x,,x,Developing
BWA,Africa,Sub-Saharan Africa,Southern Africa,Botswana,72,,x,,Developing
SWZ,Africa,Sub-Saharan Africa,Southern Africa,Eswatini,748,,x,,Developing
LSO,Africa,Sub-Saharan Africa,Southern Africa,Lesotho,426,x,x,,Developing
NAM,Africa,Sub-Saharan Africa,Southern Africa,Namibia,516,,,,Developing
ZAF,Africa,Sub-Saharan Africa,Southern Africa,South Africa,710,,,,Developing
BEN,Africa,Sub-Saharan Africa,Western Africa,Benin,204,x,,,Developing
BFA,Africa,Sub-Saharan Africa,Western Africa,Burkina Faso,854,x,x,,Developing
CPV,Africa,Sub-Saharan Africa,Western Africa,Cabo Verde,132,,,x,Developing
CIV,Africa,Sub-Saharan Africa,Western Africa,Côte d’Ivoire,384,,,,Developing
GMB,Africa,Sub-Saharan Africa,Western Africa,Gambia,270,x,,,Developing
GHA,Africa,Sub-Saharan Africa,Western Africa,Ghana,288,,,,Developing
GIN,Africa,Sub-Saharan Africa,Western Africa,Guinea,324,x,,,Developing
GNB,Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau,624,x,,x,Developing
LBR,Africa,Sub-Saharan Africa,Western Africa,Liberia,430,x,,,Developing
MLI,Africa,Sub-Saharan Africa,Western Africa,Mali,466,x,x,,Developing
MRT,Africa,Sub-Saharan Africa,Western Africa,Mauritania,478,x,,,Developing
NER,Africa,Sub-Saharan Africa,Western Africa,Niger,562,x,x,,Developing
NGA,Africa,Sub-Saharan Africa,Western Africa,Nigeria,566,,,,Developing
SHN,Africa,Sub-Saharan Africa,Western Africa,Saint Helena,654,,,,Developing
SEN,Africa,Sub-Saharan Africa,Western Africa,Senegal,686,x,,,Developing
SLE,Africa,Sub-Saharan Africa,Western Africa,Sierra Leone,694,x,,,Developing
TGO,Africa,Sub-Saharan Africa,Western Africa,Togo,768,x,,,Developing
AIA,Americas,Latin America and the Caribbean,Caribbean,Anguilla,660,,,x,Developing
ATG,Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,28,,,x,Developing
ABW,Americas,Latin America and the Caribbean,Caribbean,Aruba,533,,,x,Developing
BHS,Americas,Latin America and the Caribbean,Caribbean,Bahamas,44,,,x,Developing
BRB,Americas,Latin America and the Caribbean,Caribbean,Barbados,52,,,x,Developing
BES,Americas,Latin America and the Caribbean,Caribbean,"Bonaire, Sint Eustatius and Saba",535,,,x,Developing
VGB,Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands,92,,,x,Developing
CYM,Americas,Latin America and the Caribbean,Caribbean,Cayman Islands,136,,,,Developing
CUB,Americas,Latin America and the Caribbean,Caribbean,Cuba,192,,,x,Developing
CUW,Americas,Latin America and the Caribbean,Caribbean,Curaçao,531,,,x,Developing
DMA,Americas,Latin America and the Caribbean,Caribbean,Dominica,212,,,x,Developing
DOM,Americas,Latin America and the Caribbean,Caribbean,Dominican Republic,214,,,x,Developing
GRD,Americas,Latin America and the Caribbean,Caribbean,Grenada,308,,,x,Developing
GLP,Americas,Latin America and the Caribbean,Caribbean,Guadeloupe,312,,,,Developing
HTI,Americas,Latin America and the Caribbean,Caribbean,Haiti,332,x,,x,Developing
JAM,Americas,Latin America and the Caribbean,Caribbean,Jamaica,388,,,x,Developing
MTQ,Americas,Latin America and the Caribbean,Caribbean,Martinique,474,,,,Developing
MSR,Americas,Latin America and the Caribbean,Caribbean,Montserrat,500,,,x,Developing
PRI,Americas,Latin America and the Caribbean,Caribbean,Puerto Rico,630,,,x,Developing
BLM,Americas,Latin America and the Caribbean,Caribbean,Saint Barthélemy,652,,,,Developing
KNA,Americas,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,659,,,x,Developing
LCA,Americas,Latin America and the Caribbean,Caribbean,Saint Lucia,662,,,x,Developing
MAF,Americas,Latin America and the Caribbean,Caribbean,Saint Martin (French Part),663,,,,Developing
VCT,Americas,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,670,,,x,Developing
SXM,Americas,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part),534,,,x,Developing
TTO,Americas,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,780,,,x,Developing
TCA,Americas,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,796,,,,Developing
VIR,Americas,Latin America and the Caribbean,Caribbean,United States Virgin Islands,850,,,x,Developing
BLZ,Americas,Latin America and the Caribbean,Central America,Belize,84,,,x,Developing
CRI,Americas,Latin America and the Caribbean,Central America,Costa Rica,188,,,,Developing
SLV,Americas,Latin America and the Caribbean,Central America,El Salvador,222,,,,Developing
GTM,Americas,Latin America and the Caribbean,Central America,Guatemala,320,,,,Developing
HND,Americas,Latin America and the Caribbean,Central America,Honduras,340,,,,Developing
MEX,Americas,Latin America and the Caribbean,Central America,Mexico,484,,,,Developing
NIC,Americas,Latin America and the Caribbean,Central America,Nicaragua,558,,,,Developing
PAN,Americas,Latin America and the Caribbean,Central America,Panama,591,,,,Developing
ARG,Americas,Latin America and the Caribbean,South America,Argentina,32,,,,Developing
BOL,Americas,Latin America and the Caribbean,South America,Bolivia (Plurinational State of),68,,x,,Developing
BVT,Americas,Latin America and the Caribbean,South America,Bouvet Island,74,,,,Developing
BRA,Americas,Latin America and the Caribbean,South America,Brazil,76,,,,Developing
CHL,Americas,Latin America and the Caribbean,South America,Chile,152,,,,Developing
COL,Americas,Latin America and the Caribbean,South America,Colombia,170,,,,Developing
ECU,Americas,Latin America and the Caribbean,South America,Ecuador,218,,,,Developing
FLK,Americas,Latin America and the Caribbean,South America,Falkland Islands (Malvinas),238,,,,Developing
GUF,Americas,Latin America and the Caribbean,South America,French Guiana,254,,,,Developing
GUY,Americas,Latin America and the Caribbean,South America,Guyana,328,,,x,Developing
PRY,Americas,Latin America and the Caribbean,South America,Paraguay,600,,x,,Developing
PER,Americas,Latin America and the Caribbean,South America,Peru,604,,,,Developing
SGS,Americas,Latin America and the Caribbean,South America,South Georgia and the South Sandwich Islands,239,,,,Developing
SUR,Americas,Latin America and the Caribbean,South America,Suriname,740,,,x,Developing
URY,Americas,Latin America and the Caribbean,South America,Uruguay,858,,,,Developing
VEN,Americas,Latin America and the Caribbean,South America,Venezuela (Bolivarian Republic of),862,,,,Developing
BMU,Americas,Northern America,,Bermuda,60,,,,Developed
CAN,Americas,Northern America,,Canada,124,,,,Developed
GRL,Americas,Northern America,,Greenland,304,,,,Developed
SPM,Americas,Northern America,,Saint Pierre and Miquelon,666,,,,Developed
USA,Americas,Northern America,,United States of America,840,,,,Developed
ATA,,,,Antarctica,10,,,,
KAZ,Asia,Central Asia,,Kazakhstan,398,,x,,Developing
KGZ,Asia,Central Asia,,Kyrgyzstan,417,,x,,Developing
TJK,Asia,Central Asia,,Tajikistan,762,,x,,Developing
TKM,Asia,Central Asia,,Turkmenistan,795,,x,,Developing
UZB,Asia,Central Asia,,Uzbekistan,860,,x,,Developing
CHN,Asia,Eastern Asia,,China,156,,,,Developing
HKG,Asia,Eastern Asia,,"China, Hong Kong Special Administrative Region",344,,,,Developing
