record_id,policy_id,event_description,type
4330972,4330972,Ecuador sends cardboard coffins to bury the dead as hospitals and mortuaries are overfilled.,Other Policy Not Listed Above
3812783,3812783,Angola is suspending the performance marriages after April 7,Restriction of Non-Essential Government Services
7246810,7246810,"Luanda Sul, Angola, has received tests for the virus and is now just waiting for a technical team from the Ministry of Health to perform them after April 7",Health Testing
3755719,3755719,Brunei divided coronavirus-affected countries into four categories based on their risk level,Public Awareness Campaigns
2675237,2675237,Costa Rica through the Executive Order 42248-MP-S decrees the temporary suspension of employment contracts effective on March 16th until further notice as a consequence of the intentions stopping spreading COVID-19,Restriction of Non-Essential Businesses
3394767,3394767,The President of Djibouti established a crisis committee to be led by the Prime Minister. It was established on the 28th of March and subcommittees are under finalization.,New Task Force or Bureau
4747954,4747954,"The Philippine Department of Foreign Affairs: (announced and effective on March 3)

- Temporary travel restriction for all Filipinos traveling into North Gyeongsang Province (including Daegu City and Cheongdo County) of South Korea.

- All Filipinos going to South Korea (with the exception of North Gyeongsang Province including Daegu City and Cheongdo County) are allowed to proceed with their journey provided that they shall execute and sign a declaration signifying their knowledge and understanding of the risks involved in proceeding with their trip. All travelers shall likewise be handed out a health advisory pamphlet upon departure.

- Overseas Filipino Workers (OFWs), students studying in South Korea, and those with Permanent Resident status are not restricted to travel into South Korea.

- OFWs (whether returning or newly-hired) as well as dependents of permanent residents are allowed to return to South Korea but they must also execute a Declaration signifying their knowledge and understanding of the risks involved upon their return to the country.",External Border Restrictions
3629020,3629020,"On 23 March a separate Medical Council for dealing with the coronavirus pandemic was appointed by the Prime Minister of Bulgaria. The Council's mission is to provide the government with complementary analysis and action proposals and the general public with professional guidance and information. Unlike the National Crisis-management Staff, which is a formal national institution with executive power and tasks, the Council has mostly a knowledge-based advisory role.",New Task Force or Bureau
483599,483599,"The Republic of South Africa's National Health Laboratory Service (NHLS) launches 60 new mobile testing units, allowing its COVID-19 testing capacity to ""increase six-fold"" on April 01 2020.",Health Resources
6174998,6174998,"The Republic of South Africa announces the Debt Relief Finance Scheme for ""businesses which are negatively affected, directly or indirectly, due to the Coronavirus pandemic"" on March 31 2020.",Other Policy Not Listed Above
9861531,9861531,"Portugal created, ""depending on the Director-General of Health, as a national health authority, the Physician Support Line (LAM), based at the Directorate-General for Health"" March 10",New Task Force or Bureau
9660986,9660986,"India's national passenger carrier Air India, on 20 February 2020, announced an extension of its suspension for its Delhi-Shanghai and Delhi-Hong Kong services till June 30.",External Border Restrictions
1010075,1010075,"On 3rd of March the canton of Zurich in Switzerland recommends to cancel events that include people from Italy, China, South Korea and Iran.",Restrictions of Mass Gatherings
